ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
6	"ENSG00000165609.14"	"NUDT5"	chr10	-	12170716	12170908	12170716	12170770	12170899	12170908	6	49,39,76	283,491,533	43,53,58	585,546,344	278	149	0.232398519872	0.5517373543040052	0.085,0.041,0.071	0.038,0.049,0.083	0.009
7	"ENSG00000174106.3"	"LEMD3"	chr12	+	65245668	65245939	65245668	65245774	65245860	65245939	7	1,4,2	27,75,81	4,5,5	74,63,50	235	149	0.0867262789144	0.2829353580111974	0.023,0.033,0.015	0.033,0.048,0.06	-0.023
8	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91310626	91312413	91310626	91311032	91312294	91312413	8	10,7,11	0,5,3	79,59,40	35,9,6	298	149	0.814877779434	1.0	1.0,0.412,0.647	0.53,0.766,0.769	-0.002
10	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91310626	91313229	91310626	91312413	91313077	91313229	10	2,7,12	5,3,1	69,51,31	19,12,6	298	149	0.361145031975	0.7264642971588452	0.167,0.538,0.857	0.645,0.68,0.721	-0.161
11	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91310626	91313229	91310626	91312495	91313077	91313229	11	0,5,7	2,0,4	66,32,21	12,16,6	298	149	0.519513961232	0.8989583451094704	0.0,1.0,0.467	0.733,0.5,0.636	-0.134
13	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91314079	91314386	91314079	91314244	91314331	91314386	13	3,1,4	0,3,0	76,77,85	13,11,0	236	149	0.313629073334	0.6651748573626899	1.0,0.174,1.0	0.787,0.815,1.0	-0.143
14	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91314079	91314402	91314079	91314247	91314331	91314402	14	3,1,4	0,0,0	72,77,85	2,7,7	233	149	0.000362956895495	0.00490637250485407	1.0,1.0,1.0	0.958,0.876,0.886	0.093
16	"ENSG00000013441.17"	"CLK1"	chr2	-	200856890	200857884	200856890	200856985	200857717	200857884	16	14,35,36	91,66,148	38,13,1	105,92,30	298	149	0.224740628804	0.5418478693079503	0.071,0.21,0.108	0.153,0.066,0.016	0.051
17	"ENSG00000013441.17"	"CLK1"	chr2	-	200859679	200861466	200859679	200859746	200861237	200861466	17	23,21,50	20,37,36	41,32,16	35,22,18	298	149	0.510864905816	0.891636678880814	0.365,0.221,0.41	0.369,0.421,0.308	-0.034
18	"ENSG00000181090.21"	"EHMT1"	chr9	+	137817438	137818138	137817438	137817525	137818059	137818138	18	2,9,4	152,137,184	11,3,7	134,106,194	298	149	0.212391533205	0.521630614121435	0.007,0.032,0.011	0.039,0.014,0.018	-0.007
21	"ENSG00000197355.11"	"UAP1L1"	chr9	+	137081997	137084538	137081997	137082064	137082636	137084538	21	18,11,15	28,30,27	30,31,23	105,117,97	298	149	0.00912110687596	0.05590485101917487	0.243,0.155,0.217	0.125,0.117,0.106	0.089
22	"ENSG00000107331.18"	"ABCA2"	chr9	-	137010192	137010737	137010192	137010371	137010619	137010737	22	50,36,58	107,94,65	66,68,58	155,134,158	298	149	0.219705843551	0.5328401456078669	0.189,0.161,0.309	0.176,0.202,0.155	0.042
23	"ENSG00000107331.18"	"ABCA2"	chr9	-	137010972	137011309	137010972	137011105	137011185	137011309	23	46,10,30	79,122,184	27,28,21	175,160,158	229	149	0.175859555419	0.4560560233130576	0.275,0.051,0.096	0.091,0.102,0.08	0.05
24	"ENSG00000107331.18"	"ABCA2"	chr9	-	137011406	137011749	137011406	137011554	137011633	137011749	24	39,17,41	134,159,240	52,31,50	220,182,226	228	149	0.378539965118	0.7478391327434211	0.16,0.065,0.1	0.134,0.1,0.126	-0.012
25	"ENSG00000107331.18"	"ABCA2"	chr9	-	137021391	137022001	137021391	137021610	137021890	137022001	25	18,16,13	115,35,95	4,18,24	145,146,173	298	149	0.00641405664017	0.043227908230060876	0.073,0.186,0.064	0.014,0.058,0.065	0.062
26	"ENSG00000107331.18"	"ABCA2"	chr9	-	137022701	137023052	137022701	137022865	137022940	137023052	26	15,0,25	154,66,139	5,3,7	150,187,201	224	149	5.94168794532e-06	0.00019366015616171495	0.061,0.0,0.107	0.022,0.011,0.023	0.037
27	"ENSG00000107331.18"	"ABCA2"	chr9	-	137022940	137023840	137022940	137023052	137023837	137023840	27	56,16,36	56,19,53	48,66,109	88,105,49	298	149	0.759985261239	1.0	0.333,0.296,0.254	0.214,0.239,0.527	-0.032
28	"ENSG00000148362.11"	"PAXX"	chr9	+	136992639	136992974	136992639	136992700	136992924	136992974	28	401,238,290	106,99,78	185,171,230	111,69,105	298	149	0.00354844834539	0.028105873290709987	0.654,0.546,0.65	0.455,0.553,0.523	0.106
29	"ENSG00000148362.11"	"PAXX"	chr9	+	136992639	136993243	136992639	136992700	136993052	136993243	29	369,244,276	6,3,8	166,179,285	0,5,6	298	149	0.634817492806	0.9951288330832885	0.969,0.976,0.945	1.0,0.947,0.96	-0.006
30	"ENSG00000148362.11"	"PAXX"	chr9	+	136992639	136993243	136992639	136992974	136993052	136993243	30	232,169,162	116,129,101	109,101,230	116,96,200	227	149	0.00197603060701	0.018156253800767717	0.568,0.462,0.513	0.381,0.408,0.43	0.108
32	"ENSG00000159069.14"	"FBXW5"	chr9	-	136942045	136942695	136942045	136942466	136942546	136942695	32	82,72,110	196,236,278	55,62,61	248,212,244	229	149	0.0048801305681	0.03558791846897962	0.214,0.166,0.205	0.126,0.16,0.14	0.053
33	"ENSG00000159069.14"	"FBXW5"	chr9	-	136942546	136942943	136942546	136942695	136942768	136942943	33	98,60,119	143,121,197	65,64,107	217,195,221	222	149	0.00044950278874	0.005773999910610498	0.315,0.25,0.288	0.167,0.181,0.245	0.087
34	"ENSG00000196642.19"	"RABL6"	chr9	+	136831720	136832370	136831720	136831861	136832261	136832370	34	46,31,44	6,5,5	8,15,14	5,2,5	298	149	0.0872210375391	0.2837124251034336	0.793,0.756,0.815	0.444,0.789,0.583	0.183
35	"ENSG00000196642.19"	"RABL6"	chr9	+	136831720	136832370	136831720	136831861	136832264	136832370	35	50,33,48	389,468,598	10,20,22	278,301,291	298	149	0.0164887085117	0.08772596633799198	0.06,0.034,0.039	0.018,0.032,0.036	0.016
37	"ENSG00000148396.19"	"SEC16A"	chr9	-	136474048	136477684	136474048	136474486	136475197	136477684	37	227,206,339	11,6,12	466,339,357	30,32,40	298	149	4.28487258847e-05	0.000979921129529287	0.912,0.945,0.934	0.886,0.841,0.817	0.082
38	"ENSG00000165684.6"	"SNAPC4"	chr9	-	136391941	136392594	136391941	136392106	136392521	136392594	38	3,2,6	91,69,123	4,10,13	108,81,104	298	149	0.00853393964889	0.05348088863522709	0.016,0.014,0.024	0.018,0.058,0.059	-0.027
41	"ENSG00000165533.19"	"TTC8"	chr14	+	88841036	88841514	88841036	88841196	88841424	88841514	41	6,0,9	20,28,48	14,11,2	30,11,18	298	149	0.0108663596766	0.06428032331218247	0.13,0.0,0.086	0.189,0.333,0.053	-0.12
42	"ENSG00000165699.15"	"TSC1"	chr9	-	132897183	132897610	132897183	132897345	132897422	132897610	42	2,0,0	32,24,53	1,2,2	69,49,36	226	149	0.515993414928	0.8970723003795612	0.04,0.0,0.0	0.009,0.026,0.035	-0.01
44	"ENSG00000165699.15"	"TSC1"	chr9	-	132910570	132911568	132910570	132910689	132911452	132911568	44	10,14,17	0,2,0	28,16,14	0,0,0	298	149	1	1.0	1.0,0.778,1.0	1.0,1.0,1.0	-0.074
45	"ENSG00000165699.15"	"TSC1"	chr9	-	132925586	132927304	132925586	132925739	132927200	132927304	45	0,1,5	37,8,48	0,1,3	58,48,66	298	149	0.703975849214	1.0	0.0,0.059,0.05	0.0,0.01,0.022	0.026
46	"ENSG00000136878.14"	"USP20"	chr9	+	129880112	129881828	129880112	129880289	129880466	129881828	46	10,11,27	14,6,18	55,33,71	27,11,8	298	149	0.00662104057527	0.04444827527671631	0.263,0.478,0.429	0.505,0.6,0.816	-0.25
47	"ENSG00000184634.17"	"MED12"	chrX	+	71123593	71124388	71123593	71123720	71124158	71124388	47	2,0,0	40,21,50	0,1,1	58,46,44	298	149	1	1.0	0.024,0.0,0.0	0.0,0.011,0.011	0.001
48	"ENSG00000184634.17"	"MED12"	chrX	+	71123593	71124388	71123593	71123720	71124278	71124388	48	29,19,51	0,0,2	32,38,32	0,0,0	298	149	1	1.0	1.0,1.0,0.927	1.0,1.0,1.0	-0.024
50	"ENSG00000184634.17"	"MED12"	chrX	+	71127335	71128120	71127335	71127467	71127892	71128120	50	5,7,6	21,19,25	3,10,4	48,15,36	298	149	0.363788794585	0.7295649345113212	0.106,0.156,0.107	0.03,0.25,0.053	0.012
51	"ENSG00000184634.17"	"MED12"	chrX	+	71128295	71129215	71128295	71128440	71128597	71129215	51	2,0,0	23,42,61	0,0,0	49,37,40	298	149	1	1.0	0.042,0.0,0.0	0.0,0.0,0.0	0.014
52	"ENSG00000184634.17"	"MED12"	chrX	+	71128597	71129215	71128597	71128718	71129113	71129215	52	3,1,7	25,31,46	3,3,0	45,37,54	298	149	0.0617728573166	0.22313085436731486	0.057,0.016,0.071	0.032,0.039,0.0	0.024
53	"ENSG00000184634.17"	"MED12"	chrX	+	71128597	71129215	71128597	71128853	71129113	71129215	53	2,0,6	1,0,1	3,3,4	0,0,0	298	149	1	1.0	0.5,NA,0.75	1.0,1.0,1.0	-0.375
54	"ENSG00000184634.17"	"MED12"	chrX	+	71129113	71129429	71129113	71129215	71129315	71129429	54	0,0,6	27,10,27	1,3,7	60,29,40	249	149	0.761650215873	1.0	0.0,0.0,0.117	0.01,0.058,0.095	-0.015
56	"ENSG00000184634.17"	"MED12"	chrX	+	71129679	71130214	71129679	71129855	71130034	71130214	56	12,10,1	39,20,41	12,2,9	53,46,42	298	149	0.362099706508	0.7274324461098214	0.133,0.2,0.012	0.102,0.021,0.097	0.042
57	"ENSG00000184634.17"	"MED12"	chrX	+	71132072	71132538	71132072	71132206	71132376	71132538	57	4,2,7	34,24,56	3,1,0	58,59,43	298	149	0.00236205422541	0.02091927436987786	0.056,0.04,0.059	0.025,0.008,0.0	0.041
58	"ENSG00000184634.17"	"MED12"	chrX	+	71137186	71137635	71137186	71137383	71137557	71137635	58	1,6,4	2,11,24	6,0,0	21,33,16	298	149	0.0168400817769	0.08891716153964989	0.2,0.214,0.077	0.125,0.0,0.0	0.122
59	"ENSG00000184634.17"	"MED12"	chrX	+	71137186	71137635	71137186	71137392	71137557	71137635	59	0,3,4	18,19,24	2,0,0	38,35,23	298	149	0.0455515258366	0.17991047152337766	0.0,0.073,0.077	0.026,0.0,0.0	0.041
61	"ENSG00000184634.17"	"MED12"	chrX	+	71137186	71137635	71137186	71137392	71137560	71137635	61	1,5,4	3,0,2	4,1,1	1,0,0	298	149	0.000811422134506	0.009084541554059952	0.143,1.0,0.5	0.667,1.0,1.0	-0.341
62	"ENSG00000184634.17"	"MED12"	chrX	+	71137725	71137943	71137725	71137780	71137855	71137943	62	38,68,101	1,0,1	82,101,57	6,8,11	224	149	2.66102121449e-07	1.5213625386121105e-05	0.962,1.0,0.985	0.901,0.894,0.775	0.126
63	"ENSG00000184634.17"	"MED12"	chrX	+	71141229	71141964	71141229	71141370	71141882	71141964	63	3,0,3	42,39,57	0,0,1	45,43,47	298	149	0.561545591671	0.9352388973030624	0.034,0.0,0.026	0.0,0.0,0.011	0.016
64	"ENSG00000184634.17"	"MED12"	chrX	+	71141229	71141964	71141229	71141414	71141882	71141964	64	3,0,2	2,0,1	0,0,1	0,0,0	298	149	1	1.0	0.429,NA,0.5	NA,NA,1.0	-0.535
65	"ENSG00000110172.12"	"CHORDC1"	chr11	-	90210535	90214175	90210535	90210594	90214017	90214175	65	4,13,12	0,0,0	18,5,4	1,0,0	298	149	1	1.0	1.0,1.0,1.0	0.9,1.0,1.0	0.033
66	"ENSG00000197694.19"	"SPTAN1"	chr9	+	128598962	128600115	128598962	128598986	128600079	128600115	66	8,9,11	190,140,162	19,16,20	322,269,244	298	149	0.446646542835	0.8250422765556475	0.021,0.031,0.033	0.029,0.029,0.039	-0.004
67	"ENSG00000106976.22"	"DNM1"	chr9	+	128247923	128248753	128247923	128247935	128248582	128248753	67	0,1,0	1,0,1	10,8,2	54,31,40	298	149	0.07921238332	0.2653728980100864	0.0,1.0,0.0	0.085,0.114,0.024	0.259
