status	loglr	df	p	cluster	p.adjust
Success	2.99918092385929	3	0.111689951969184	chr1:clu_1_+	0.222287242395553
Success	0.0155479589678293	1	0.860026566423822	chr1:clu_10_+	0.914718699023653
Success	1.9693412050363	1	0.0471877229881497	chr1:clu_100_+	0.120582500681112
Success	0.599900900262639	2	0.548866025877986	chr1:clu_1000_-	0.678102718838324
Success	4.17121974668635	3	0.0394400903094286	chr1:clu_1001_-	0.106551780407968
Success	0.526356923311823	1	0.304882890535867	chr1:clu_1002_-	0.453970866427379
Success	0.920626817298739	1	0.174804084669769	chr1:clu_1003_-	0.306078935244034
Success	4.14305587694002	3	0.0404543128965735	chr1:clu_1004_-	0.108379747187863
Success	0.515342593859458	1	0.309997791110909	chr1:clu_1005_-	0.459577144863726
Success	4.32574462240387	2	0.0132236997664996	chr1:clu_1006_-	0.0487259826764984
Success	1.66024228336414	1	0.0684216594416962	chr1:clu_1007_-	0.156946021398416
Success	0.160322607238982	1	0.571220152478592	chr1:clu_1008_-	0.696211786760526
Success	7.09906354550776	3	0.00264750416587991	chr1:clu_1009_-	0.0161089064610074
Success	1.86738478929408	2	0.15452725517636	chr1:clu_101_+	0.279682383885564
Success	0.494378301935058	1	0.320046461356636	chr1:clu_1010_-	0.469702460789337
Success	1.32576892552072	1	0.103449773772858	chr1:clu_1011_-	0.210384037246689
Success	0.158905831624054	1	0.572925732523628	chr1:clu_1012_-	0.697593577225346
Success	0.1021029707357	1	0.651347137252356	chr1:clu_1013_-	0.76013049794012
Success	0.908181677520133	2	0.403256808714639	chr1:clu_1014_-	0.550078123433008
Success	4.02516019759497	1	0.0045495607554729	chr1:clu_1015_-	0.0232464141193695
Success	2.26934282990214	2	0.10338009607233	chr1:clu_1016_-	0.210316632168875
Success	4.98924427062047	2	0.0068108096767732	chr1:clu_1017_-	0.0309321978691284
Success	2.44399955375957	2	0.0868129431535949	chr1:clu_1018_-	0.185619453715279
Success	0.356466578863831	2	0.700145870749088	chr1:clu_1019_-	0.797853854334357
Success	5.81452303573843	1	0.000649298457049703	chr1:clu_102_+	0.00614285294177104
Success	0.326630120965206	1	0.418949464074966	chr1:clu_1020_-	0.564764988403878
Success	0.467925551371593	1	0.333347120874564	chr1:clu_1021_-	0.483288806470529
Success	0.363535915450484	2	0.695213757852474	chr1:clu_1022_-	0.793924360527533
Success	3.22687873803903	2	0.0396811609953132	chr1:clu_1023_-	0.106994029723634
Success	1.25568967462277	3	0.473238089913078	chr1:clu_1024_-	0.613095575857275
Success	2.45743262619271	2	0.0856545762321011	chr1:clu_1025_-	0.184158977907365
Success	2.99835678830522	1	0.0143325526029183	chr1:clu_1026_-	0.0514342258212679
Success	5.95288340442517	2	0.00259833764842895	chr1:clu_1027_-	0.0159100391377371
Success	1.52166182014128	2	0.218348728968543	chr1:clu_1028_-	0.359099285522622
Success	0.0236121729803358	1	0.827965491666658	chr1:clu_1029_-	0.893061367415433
Success	0.517547945269598	2	0.595980133652833	chr1:clu_103_+	0.717374481380386
Success	2.79772234857955	2	0.0609487246026139	chr1:clu_1030_-	0.144721020632918
Success	0.197349189736997	1	0.529840015228481	chr1:clu_1031_-	0.66154932893735
Success	12.2979772030467	8	0.00181941118612807	chr1:clu_1032_-	0.0122047188581104
Success	10.7243248385548	2	2.20031520789126e-05	chr1:clu_1033_-	0.000591021555795634
Success	0.182366606337382	2	0.83329579289274	chr1:clu_1034_-	0.896937724618506
Success	0.374475836890554	1	0.386808340142424	chr1:clu_1035_-	0.535502781746076
Success	0.538903206109012	1	0.29918879529768	chr1:clu_1036_-	0.44836846257839
Success	2.06820670042177	1	0.0419700049390137	chr1:clu_1037_-	0.111194288020457
Success	1.19761658787866	3	0.494522582389139	chr1:clu_1038_-	0.631702562042333
Success	0.0856380080813892	1	0.678980252765639	chr1:clu_1039_-	0.781450711154022
Success	1.43035537511787	1	0.0907673842242515	chr1:clu_104_+	0.191451535412745
Success	1.16688362961065	1	0.126595172710737	chr1:clu_1040_-	0.242255670169747
Success	1.2025047543666	1	0.120947389401876	chr1:clu_1041_-	0.234223520737587
Success	5.57543419104741	2	0.00378982971473068	chr1:clu_1042_-	0.0205558993604684
Success	3.15247622529523	2	0.0427461466161797	chr1:clu_1043_-	0.112666127933238
Success	1.75669241402383	2	0.172614859136505	chr1:clu_1044_-	0.303379377724183
Success	1.79221544101176	3	0.309975683149003	chr1:clu_1045_-	0.459577144863726
Success	1.7350165146276	1	0.0624900629003319	chr1:clu_1046_-	0.147013891697682
Success	0.00264703928792187	1	0.94199676848078	chr1:clu_1047_-	0.969167264046336
Success	3.88836231914775	3	0.0508587041565085	chr1:clu_1048_-	0.127271358552902
Success	0.30116563447973	1	0.437689921264433	chr1:clu_1049_-	0.582066984889001
Success	0.0403720421487606	1	0.776291572035153	chr1:clu_105_+	0.8547194613804
Success	0.0372336162636202	2	0.963451031225989	chr1:clu_1050_-	0.98180839748139
Success	2.63244904405428	1	0.0217596967549401	chr1:clu_1051_-	0.069085038920177
Success	0.205898489476496	1	0.52105883613974	chr1:clu_1052_-	0.65407407919407
Success	0.784115720647208	1	0.210464037284572	chr1:clu_1053_-	0.349261214640297
