ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
5	"ENSG00000165609.14"	"NUDT5"	chr10	-	12170716	12170908	12170716	12170770	12172764	12172866	5	135,81	7,12	48,28	5,1	198	99	0.491204723985	1.0	0.906,0.771	0.828,0.933	-0.042
14	"ENSG00000107485.18"	"GATA3"	chr10	+	8063992	8064138	8063995	8064138	8058304	8058841	14	33,15	5,2	7,8	4,0	102	99	0.798109155415	1.0	0.865,0.879	0.629,1.0	0.057
16	"ENSG00000198879.13"	"SFMBT2"	chr10	-	7283903	7284150	7283903	7283959	7285865	7285954	16	2,0	1,0	5,1	2,0	198	99	1	1.0	0.5,NA	0.556,1.0	-0.278
18	"ENSG00000134453.16"	"RBM17"	chr10	+	6106140	6106238	6106143	6106238	6104930	6105097	18	39,35	0,0	18,7	1,0	102	99	1	1.0	1.0,1.0	0.946,1.0	0.027
20	"ENSG00000015171.21"	"ZMYND11"	chr10	+	240055	240111	240058	240111	239437	239525	20	42,27	0,2	10,6	0,0	102	99	0.525289669697	1.0	1.0,0.929	1.0,1.0	-0.035
21	"ENSG00000181090.21"	"EHMT1"	chr9	+	137743370	137743528	137743391	137743528	137728348	137728529	21	2,10	11,14	0,3	12,3	120	99	0.17403931944	0.767820032053909	0.13,0.371	0.0,0.452	0.024
22	"ENSG00000181090.21"	"EHMT1"	chr9	+	137814250	137814508	137814430	137814508	137813385	137813530	22	0,1	12,13	0,0	8,10	198	99	1	1.0	0.0,0.037	0.0,0.0	0.018
24	"ENSG00000188747.9"	"NOXA1"	chr9	+	137434202	137434406	137434223	137434406	137433964	137434079	24	1,1	5,3	2,1	8,2	120	99	0.691352059182	1.0	0.142,0.216	0.171,0.292	-0.052
29	"ENSG00000188566.15"	"NDOR1"	chr9	+	137215406	137215521	137215427	137215521	137215094	137215202	29	4,4	0,1	0,2	0,0	120	99	1	1.0	1.0,0.767	NA,1.0	-0.117
30	"ENSG00000188566.15"	"NDOR1"	chr9	+	137216066	137216188	137216093	137216188	137215898	137216017	30	0,2	2,0	0,1	1,2	126	99	0.154548714855	0.7161931758970033	0.0,1.0	0.0,0.282	0.359
37	"ENSG00000107331.18"	"ABCA2"	chr9	-	137012484	137012637	137012484	137012590	137012711	137012925	37	0,1	7,10	3,1	9,12	146	99	0.0512551272465	0.3510197873452346	0.0,0.064	0.184,0.053	-0.086
38	"ENSG00000107331.18"	"ABCA2"	chr9	-	137016573	137016738	137016573	137016697	137016919	137017124	38	15,12	1,0	13,17	0,0	140	99	1	1.0	0.914,1.0	1.0,1.0	-0.043
39	"ENSG00000107331.18"	"ABCA2"	chr9	-	137022940	137023840	137022940	137023052	137024142	137024236	39	4,3	8,5	9,16	0,5	198	99	0.000461845142014	0.016969622955752925	0.2,0.231	1.0,0.615	-0.592
42	"ENSG00000184925.12"	"LCN12"	chr9	+	136953465	136953779	136953699	136953779	136952891	136953028	42	0,0	0,1	0,1	0,0	198	99	1	1.0	NA,0.0	NA,1.0	-1.0
43	"ENSG00000184925.12"	"LCN12"	chr9	+	136953487	136953779	136953699	136953779	136952891	136953028	43	0,0	0,1	0,1	0,0	198	99	1	1.0	NA,0.0	NA,1.0	-1.0
45	"ENSG00000159069.14"	"FBXW5"	chr9	-	136942768	136942973	136942768	136942943	136943348	136943506	45	1,0	71,54	0,0	33,18	129	99	1	1.0	0.011,0.0	0.0,0.0	0.005
46	"ENSG00000159069.14"	"FBXW5"	chr9	-	136942768	136943003	136942768	136942943	136943348	136943506	46	0,1	71,54	0,0	33,18	159	99	1	1.0	0.0,0.011	0.0,0.0	0.005
