ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
9	"ENSG00000067048.17"	"DDX3Y"	chrY	+	12914883	12915227	12914883	12914982	12915066	12915227	9	8,1	142,184	25,21	109,98	233	149	1.93377869273e-10	1.269426311937899e-08	0.035,0.003	0.128,0.121	-0.105
10	"ENSG00000174106.3"	"LEMD3"	chr12	+	65245668	65245939	65245668	65245774	65245860	65245939	10	2,6	56,73	7,12	98,74	235	149	0.120810921579	0.32413136484755384	0.022,0.05	0.043,0.093	-0.032
11	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91310626	91312413	91310626	91311032	91312294	91312413	11	6,1	3,0	32,38	15,12	298	149	0.658647872671	0.9801573427205729	0.5,1.0	0.516,0.613	0.185
12	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91311645	91312413	91311645	91311737	91312294	91312413	12	2,1	0,0	36,45	3,1	298	149	0.051877712335	0.17228796758441609	1.0,1.0	0.857,0.957	0.093
13	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91310626	91313229	91310626	91312413	91313077	91313229	13	6,2	0,0	47,51	16,6	298	149	0.000125323171342	0.0015946919483808115	1.0,1.0	0.595,0.81	0.297
14	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91310626	91313229	91310626	91312495	91313077	91313229	14	4,2	0,0	39,33	12,5	298	149	0.000145973743407	0.0017893884357605028	1.0,1.0	0.619,0.767	0.307
16	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91314079	91314386	91314079	91314244	91314331	91314386	16	22,13	0,0	250,172	17,9	236	149	0.000851345266544	0.0073462520297359404	1.0,1.0	0.903,0.923	0.087
17	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91314079	91314402	91314079	91314247	91314331	91314402	17	22,13	0,0	250,166	8,12	233	149	0.00230102134466	0.01617275214911872	1.0,1.0	0.952,0.898	0.075
18	"ENSG00000048740.19"	"CELF2"	chr10	+	11328925	11334358	11328925	11329097	11330455	11334358	18	0,1	0,2	0,1	1,1	298	149	1	1.0	NA,0.2	0.0,0.333	0.034
19	"ENSG00000013441.17"	"CLK1"	chr2	-	200856890	200857884	200856890	200856985	200857717	200857884	19	6,0	84,94	12,12	162,133	298	149	0.019871102005	0.0850546133352346	0.034,0.0	0.036,0.043	-0.022
