status	loglr	df	p	cluster	p.adjust
Success	4.65774180925337	2	0.00948786363444759	chr1:clu_1_-	0.0433783548910292
Success	10.1912918826853	2	3.74954156165925e-05	chr1:clu_10_-	0.00110565248844215
Success	7.7797448757758	2	0.000418118833247787	chr1:clu_100_-	0.00563230663610255
Success	2.33731853710378	2	0.0965862838376106	chr1:clu_1000_+	0.20941945466241
Success	0.548703430266301	1	0.294835895119302	chr1:clu_1001_+	0.450052296010359
Success	4.41245270019868	1	0.00297146796875625	chr1:clu_1002_+	0.0203690612338671
Success	1.66251392452	1	0.0682328588361844	chr1:clu_1003_+	0.166226858228577
Success	0.313390681468036	1	0.428538394830805	chr1:clu_1004_+	0.579369268127617
Success	3.43404449513207	2	0.0322562164836824	chr1:clu_1005_+	0.0986380054789942
Success	0.418045721210319	3	0.840816370256205	chr1:clu_1006_+	0.901814309224467
Success	0.837157331016556	1	0.195681616308905	chr1:clu_1007_+	0.341207580125815
Success	2.32431234146134	4	0.325286318873042	chr1:clu_1008_+	0.478176832740816
Success	0.54635334888917	2	0.579057585872546	chr1:clu_1009_+	0.706701076850688
Success	1.29325828772954	1	0.10777713459878	chr1:clu_101_-	0.225042667246573
Success	0.230201196930921	1	0.497435973917558	chr1:clu_1010_+	0.639043135267925
Success	0.194968804593913	1	0.53233219881899	chr1:clu_1011_+	0.667928591267054
Success	8.88021007870339	5	0.00326214827445925	chr1:clu_1012_+	0.021713359231914
Success	1.14370676321812	2	0.318635722889136	chr1:clu_1013_+	0.471949803939254
Success	2.58669693197862	2	0.0752682460756641	chr1:clu_1014_+	0.176894346356368
Success	0.00468331058499416	1	0.922900069971456	chr1:clu_1015_+	0.954837398164259
Success	21.2623671694018	10	6.04641855126316e-06	chr1:clu_1016_+	0.000304100947977782
<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	chr1:clu_1017_+	NA
Success	0.314222740719742	2	0.730356329945738	chr1:clu_1018_+	0.823573248638373
Success	1.92634953634547	2	0.145679024998681	chr1:clu_1019_+	0.279341412089935
Success	7.0854059764406	2	0.000837234820668981	chr1:clu_102_-	0.00887676362194835
Success	0.172990902181994	1	0.556396594424125	chr1:clu_1020_+	0.687542657380811
Success	16.1950199763291	4	1.5921899366886e-06	chr1:clu_1021_+	0.00011419074478341
Success	0.143361777036034	1	0.592327844978814	chr1:clu_1022_+	0.717859349879968
<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	chr1:clu_1023_+	NA
Success	3.45230346372534	1	0.00859739256783507	chr1:clu_1024_+	0.0406920563797752
Success	9.29276983037562	7	0.00958975789519614	chr1:clu_1025_+	0.0436056460608348
Success	1.40992041368372	2	0.244162714391207	chr1:clu_1026_+	0.396029469524909
Success	3.26005007351978	8	0.589178998035467	chr1:clu_1027_+	0.714919228394108
Success	0.437894616950075	1	0.349357573845626	chr1:clu_1028_+	0.501726957913077
Success	0.0319942744177411	1	0.800299448457074	chr1:clu_1029_+	0.873326874555762
Success	2.07266257586491	1	0.0417496363957447	chr1:clu_103_-	0.118281478422585
Success	4.73986234431231	1	0.00207755142693284	chr1:clu_1030_+	0.0161565650347386
Not enough valid samples	NA	NA	NA	chr1:clu_1031_+	NA
Success	2.1152865250051	3	0.237618713007778	chr1:clu_1032_+	0.389031062990982
Success	7.39751629023431	3	0.00200045550067961	chr1:clu_1033_+	0.0157389638551277
Success	4.07126518196128	2	0.0170557961656003	chr1:clu_1034_+	0.0650501538378299
Success	0.604422035390712	1	0.271561171599033	chr1:clu_1035_+	0.425941837645059
Success	0.298449525067781	1	0.439763630849182	chr1:clu_1036_+	0.58906981441565
Success	1.80420128704458	1	0.0574883143041106	chr1:clu_1037_+	0.147390835363302
Success	2.49558685198861	2	0.0824480523881077	chr1:clu_1038_+	0.187973745029089
Success	4.04383093241904	4	0.0884192976962562	chr1:clu_1039_+	0.197071215801368
Success	2.31289963386934	1	0.0314945843827482	chr1:clu_104_-	0.0970726232268531
Success	1.08448079635104	4	0.704715579681189	chr1:clu_1040_+	0.804502946978006
Success	0.0505972016194391	1	0.75040098442082	chr1:clu_1041_+	0.838241155742741
