ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
70	"ENSG00000148481.14"	"MINDY3"	chr10	-	15786560	15786648	15782154	15782226	15789246	15789319	70	5,11	0,2	32,18	1,1	187	99	0.403034259139	1.0	1.0,0.744	0.944,0.905	-0.052
71	"ENSG00000148481.14"	"MINDY3"	chr10	-	15821655	15821726	15816834	15816915	15833629	15833709	71	16,14	1,0	34,19	2,0	170	99	0.758016786052	1.0	0.903,1.0	0.908,1.0	-0.002
72	"ENSG00000148481.14"	"MINDY3"	chr10	-	15837541	15837633	15837203	15837318	15838227	15838279	72	2,0	8,11	0,1	11,13	191	99	0.751964924222	1.0	0.115,0.0	0.0,0.038	0.039
73	"ENSG00000148481.14"	"MINDY3"	chr10	-	15838227	15838279	15837203	15837318	15841425	15841599	73	13,13	3,2	19,17	5,1	151	99	0.721156289452	1.0	0.74,0.81	0.714,0.918	-0.041
74	"ENSG00000148481.14"	"MINDY3"	chr10	-	15847863	15847943	15843211	15843272	15860205	15860498	74	25,18	1,0	33,32	0,0	179	99	1	1.0	0.933,1.0	1.0,1.0	-0.033
75	"ENSG00000152465.18"	"NMT2"	chr10	-	15130141	15130312	15128349	15128458	15132816	15132933	75	11,11	0,0	33,21	1,0	198	99	1	1.0	1.0,1.0	0.943,1.0	0.028
76	"ENSG00000152465.18"	"NMT2"	chr10	-	15140986	15141029	15135273	15135418	15141421	15141557	76	1,0	6,8	0,0	11,18	142	99	1	1.0	0.104,0.0	0.0,0.0	0.052
85	"ENSG00000065809.14"	"FAM107B"	chr10	-	14553321	14553387	14530331	14530515	14572228	14572339	85	0,2	0,0	4,0	0,2	165	99	1	1.0	NA,1.0	1.0,0.0	0.5
86	"ENSG00000065809.14"	"FAM107B"	chr10	-	14553321	14553387	14530331	14530515	14604239	14604418	86	2,4	1,4	5,0	4,1	165	99	0.540796313431	1.0	0.545,0.375	0.429,0.0	0.246
89	"ENSG00000065809.14"	"FAM107B"	chr10	-	14556361	14556405	14553321	14553387	14604239	14604418	89	2,1	2,2	0,0	1,0	143	99	1	1.0	0.409,0.257	0.0,NA	0.333
