ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
6	"ENSG00000165609.14"	"NUDT5"	chr10	-	12170716	12170908	12170716	12170770	12170899	12170908	6	19,8	110,73	5,3	46,34	198	99	0.228821012026	0.7270407261523314	0.079,0.052	0.052,0.042	0.019
7	"ENSG00000174106.3"	"LEMD3"	chr12	+	65245668	65245939	65245668	65245774	65245860	65245939	7	0,0	15,5	0,2	8,11	185	99	0.45403929586	1.0	0.0,0.0	0.0,0.089	-0.044
16	"ENSG00000013441.17"	"CLK1"	chr2	-	200856890	200857884	200856890	200856985	200857717	200857884	16	0,1	2,6	1,0	3,4	198	99	1	1.0	0.0,0.077	0.143,0.0	-0.033
17	"ENSG00000013441.17"	"CLK1"	chr2	-	200859679	200861466	200859679	200859746	200861237	200861466	17	6,6	0,2	3,3	0,0	198	99	0.56196656644	1.0	1.0,0.6	1.0,1.0	-0.2
21	"ENSG00000197355.11"	"UAP1L1"	chr9	+	137081997	137084538	137081997	137082064	137082636	137084538	21	1,0	5,1	1,2	2,5	198	99	1	1.0	0.091,0.0	0.2,0.167	-0.138
22	"ENSG00000107331.18"	"ABCA2"	chr9	-	137010192	137010737	137010192	137010371	137010619	137010737	22	4,2	9,10	0,5	8,11	198	99	0.808779031541	1.0	0.182,0.091	0.0,0.185	0.044
23	"ENSG00000107331.18"	"ABCA2"	chr9	-	137010972	137011309	137010972	137011105	137011185	137011309	23	3,5	7,11	2,1	6,8	179	99	0.135963111422	0.5466118029467075	0.192,0.201	0.156,0.065	0.086
24	"ENSG00000107331.18"	"ABCA2"	chr9	-	137011406	137011749	137011406	137011554	137011633	137011749	24	0,2	3,9	0,2	8,7	178	99	0.642443486689	1.0	0.0,0.11	0.0,0.137	-0.014
25	"ENSG00000107331.18"	"ABCA2"	chr9	-	137021391	137022001	137021391	137021610	137021890	137022001	25	0,0	12,9	0,1	12,21	198	99	1	1.0	0.0,0.0	0.0,0.023	-0.011
26	"ENSG00000107331.18"	"ABCA2"	chr9	-	137022701	137023052	137022701	137022865	137022940	137023052	26	1,1	13,7	2,1	18,17	174	99	0.921841054498	1.0	0.042,0.075	0.059,0.032	0.013
27	"ENSG00000107331.18"	"ABCA2"	chr9	-	137022940	137023840	137022940	137023052	137023837	137023840	27	2,1	2,3	2,6	8,10	198	99	0.733038497895	1.0	0.333,0.143	0.111,0.231	0.067
28	"ENSG00000148362.11"	"PAXX"	chr9	+	136992639	136992974	136992639	136992700	136992924	136992974	28	100,100	44,22	28,10	24,10	198	99	0.00192624079964	0.03714499306683967	0.532,0.694	0.368,0.333	0.262
29	"ENSG00000148362.11"	"PAXX"	chr9	+	136992639	136993243	136992639	136992974	136993052	136993243	29	60,60	20,17	35,13	15,6	177	99	0.304769732497	0.8526495075525453	0.627,0.664	0.566,0.548	0.089
31	"ENSG00000159069.14"	"FBXW5"	chr9	-	136942045	136942695	136942045	136942466	136942546	136942695	31	14,7	63,48	11,2	19,6	179	99	0.0425727264789	0.2662825439572615	0.109,0.075	0.243,0.156	-0.108
32	"ENSG00000159069.14"	"FBXW5"	chr9	-	136942546	136942943	136942546	136942695	136942768	136942943	32	16,28	65,47	5,5	29,13	172	99	0.143779723881	0.5661172490031483	0.124,0.255	0.09,0.181	0.054
34	"ENSG00000196642.19"	"RABL6"	chr9	+	136831720	136832370	136831720	136831861	136832264	136832370	34	15,1	34,18	3,4	3,10	198	99	0.488620129353	1.0	0.181,0.027	0.333,0.167	-0.146
36	"ENSG00000148396.19"	"SEC16A"	chr9	-	136474048	136477684	136474048	136474486	136475197	136477684	36	10,5	1,0	8,13	0,0	198	99	1	1.0	0.833,1.0	1.0,1.0	-0.084
37	"ENSG00000165684.6"	"SNAPC4"	chr9	-	136391941	136392594	136391941	136392106	136392521	136392594	37	0,1	5,1	1,1	2,2	198	99	0.0920932350757	0.4339421071224767	0.0,0.333	0.2,0.2	-0.034
40	"ENSG00000165533.19"	"TTC8"	chr14	+	88841036	88841514	88841036	88841196	88841424	88841514	40	0,1	25,14	3,1	11,8	198	99	0.0467569917271	0.2806044941347424	0.0,0.034	0.12,0.059	-0.072
