status	loglr	df	p	cluster	p.adjust
Not enough valid samples	NA	NA	NA	chr1:clu_1_-	NA
Not enough valid samples	NA	NA	NA	chr1:clu_10_-	NA
Success	5.94320022449409	2	0.00262362002877161	chr1:clu_100_-	0.0208843144170595
Success	0.577302383035203	2	0.561410796959375	chr1:clu_101_-	0.705297556971445
Success	0.266567026343012	1	0.465292210795347	chr1:clu_102_-	0.618471187898287
Not enough valid samples	NA	NA	NA	chr1:clu_103_-	NA
Success	1.19012435330887	2	0.30418343549799	chr1:clu_104_-	0.467543369871843
Success	1.96921070740882	5	0.558315461132238	chr1:clu_105_-	0.703306311272982
Success	0.0157540641137075	2	0.984369382044612	chr1:clu_106_-	0.994090630023384
Success	0.0807062284837912	2	0.922464645480922	chr1:clu_107_-	0.955996372208345
Success	1.48548045084891	1	0.0847714876415605	chr1:clu_108_-	0.202043757821147
Success	0.43975399066494	2	0.644194879545178	chr1:clu_109_-	0.772757842117016
Success	0.71407034338381	1	0.232068119189683	chr1:clu_11_-	0.39444536487569
Success	6.01902103246141	3	0.00725397408875159	chr1:clu_110_-	0.0395079992280155
Success	0.266567026343012	1	0.465292210795347	chr1:clu_111_-	0.618471187898287
Not enough valid samples	NA	NA	NA	chr1:clu_112_-	NA
Success	1.73062841015792	2	0.177173037643228	chr1:clu_113_-	0.332545610071029
Success	0.0287172898710253	1	0.810597624924995	chr1:clu_114_-	0.888857835180704
Success	4.33677144059112	1	0.00322862899630982	chr1:clu_115_-	0.0236024971254321
Success	0.129553497894221	2	0.878487589922937	chr1:clu_116_-	0.930656067494693
Success	0	1	1	chr1:clu_117_-	1
Success	0.00150932831627415	1	0.956184430028004	chr1:clu_118_-	0.977428084454609
Not enough valid samples	NA	NA	NA	chr1:clu_119_-	NA
Success	4.12542839088474	2	0.0161565717773592	chr1:clu_12_-	0.0667773099792037
Success	0.514204149147417	2	0.597976305248129	chr1:clu_120_-	0.73568727294728
Success	6.51318973785533	1	0.000307133753795186	chr1:clu_121_-	0.00550084428271635
Success	1.1120363502356	2	0.32888854643833	chr1:clu_122_-	0.494040106854137
Success	0.568373355367441	1	0.286340814914335	chr1:clu_123_-	0.450667826884968
Success	6.96512511570677	3	0.00300164795143802	chr1:clu_124_-	0.0225383805816972
Success	2.39690090769545	1	0.0285623164383692	chr1:clu_125_-	0.0972023290241213
Success	12.0844555392923	3	2.30315617970157e-05	chr1:clu_126_-	0.00110948592518727
Success	1.95224514839447	1	0.048157233404235	chr1:clu_127_-	0.138569835356779
Success	4.82422033755415	1	0.00189512389233697	chr1:clu_128_-	0.0173605775579983
Success	1.6778661660062	1	0.0669714160537786	chr1:clu_129_-	0.172764554239651
Not enough valid samples	NA	NA	NA	chr1:clu_13_-	NA
Success	4.13703563717127	2	0.0159701226434266	chr1:clu_130_-	0.0663995873001993
Success	0.150688985207125	2	0.86011516560404	chr1:clu_131_-	0.919386006600363
Success	1.94552285745749	2	0.142912480943557	chr1:clu_132_-	0.291670907053541
Success	2.82977266596572	2	0.0590262708245771	chr1:clu_133_-	0.157968774601407
Success	0.201927206548589	2	0.817154409267071	chr1:clu_134_-	0.89394260747541
Success	7.71822697513699	3	0.00147922258153679	chr1:clu_135_-	0.0146558435915383
Success	0.0124160235372415	1	0.874786287399003	chr1:clu_136_-	0.928276827570382
Success	2.59652709252202	1	0.0226773291906495	chr1:clu_137_-	0.082932536333344
Success	6.17269747802527	1	0.000442075609551946	chr1:clu_138_-	0.00693909692746145
Success	0.0665725689833607	1	0.715193083644064	chr1:clu_139_-	0.827090014777117
Success	4.17552105382379	2	0.0153671824394156	chr1:clu_14_-	0.06490901583308
Not enough valid samples	NA	NA	NA	chr1:clu_140_-	NA
Success	0.443497553640952	2	0.641787803775757	chr1:clu_141_-	0.772069304074188
Success	1.8372689140075	2	0.159251762990446	chr1:clu_142_-	0.31114060435897
Success	1.54290876792791	1	0.0789775667719343	chr1:clu_143_-	0.192719058131689
Success	1.1909965004331	1	0.122740867710347	chr1:clu_144_-	0.261203312739229
Success	3.01624154569038	1	0.0140449620876311	chr1:clu_145_-	0.0610289643434548
Success	0.463664409082156	1	0.33555799327603	chr1:clu_146_-	0.501095154042345
Success	2.69633971993298	1	0.0202213972332143	chr1:clu_147_-	0.0768688215912936
Success	0.140106765810231	1	0.596561294711258	chr1:clu_148_-	0.734917221086091
Not enough valid samples	NA	NA	NA	chr1:clu_149_-	NA
Not enough valid samples	NA	NA	NA	chr1:clu_15_-	NA
Success	0.0254581188319207	1	0.821476553133952	chr1:clu_150_-	0.896564644318852
Success	3.62973933984961	3	0.064071436889402	chr1:clu_151_-	0.166681186842634
Success	14.0563652893143	7	0.000209785629613712	chr1:clu_152_-	0.00440707555744895
Success	0.215350886798149	1	0.511644799426488	chr1:clu_153_-	0.661931896652138
Success	2.79048337614188	2	0.0613915315400423	chr1:clu_154_-	0.162124706165291
Success	0.23351165541564	1	0.494359781517541	chr1:clu_155_-	0.646648515711615
Success	0.0180047876038998	1	0.849495719945921	chr1:clu_156_-	0.91499269141438
Success	4.56515312365354	1	0.00251409631962549	chr1:clu_157_-	0.0205141066756559
Success	0.819830280358474	2	0.440506410752141	chr1:clu_158_-	0.596305674244904
Success	0.00247616970585796	1	0.943896892335088	chr1:clu_159_-	0.970289888588755
Success	2.00789574283181	1	0.0450760613730504	chr1:clu_16_-	0.132431667167511
Success	4.26181500989833	2	0.0140966935387101	chr1:clu_160_-	0.0610638166622574
Success	0.736256504062027	1	0.224949615832467	chr1:clu_161_-	0.387490275361229
Success	0.282496427919	2	0.753899334944002	chr1:clu_162_-	0.85297791390689
Success	1.45244552345832	1	0.0883112208440665	chr1:clu_163_-	0.206263953813349
Success	3.24887328966679	4	0.164932422399208	chr1:clu_164_-	0.317588689306262
Success	6.35175089734389	1	0.000364971476901029	chr1:clu_165_-	0.00606982325274688
Success	0.00540110617367873	1	0.917221969482298	chr1:clu_166_-	0.953641188794105
Success	0.0428181870844924	2	0.958085566562945	chr1:clu_167_-	0.977658354855872
Success	0.109127803242131	1	0.640372285129129	chr1:clu_168_-	0.771677934034872
Success	0.929509505465717	2	0.394747284279611	chr1:clu_169_-	0.558725386158679
Not enough valid samples	NA	NA	NA	chr1:clu_17_-	NA
Success	0.232326559420571	1	0.495457323239064	chr1:clu_170_-	0.647780889625618
Success	0.0930576290232494	1	0.666169715571612	chr1:clu_171_-	0.788343153454928
Success	2.42892235345136	1	0.0275206954563072	chr1:clu_172_-	0.0943470222146288
