ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
4	"ENSG00000102125.11"	"TAZ"	chrX	+	153642437	153642527	153647881	153647962	153641818	153641904	153648043	153648085	4	4,3	8,7	4,0	5,0	189	180	1	1.0	0.323,0.29	0.432,NA	-0.126
5	"ENSG00000102125.11"	"TAZ"	chrX	+	153642437	153642527	153647884	153647962	153641818	153641904	153648043	153648085	5	4,3	3,2	4,0	2,0	189	177	1	1.0	0.555,0.584	0.652,NA	-0.083
6	"ENSG00000102125.11"	"TAZ"	chrX	+	153647881	153647962	153648043	153648085	153642437	153642527	153648370	153648433	6	5,2	3,1	1,0	1,1	180	141	0.00291998880553	0.03753123226190394	0.566,0.61	0.439,0.0	0.368
7	"ENSG00000184216.7"	"IRAK1"	chrX	-	153279492	153279729	153281482	153281548	153278493	153278884	153281887	153282095	7	16,12	14,6	6,0	1,0	165	198	1	1.0	0.578,0.706	0.878,NA	-0.236
15	"ENSG00000158301.14"	"GPRASP2"	chrX	+	101968057	101968145	101968709	101968777	101967256	101967480	101969116	101969194	15	1,1	6,4	0,0	0,1	187	167	1	1.0	0.13,0.183	NA,0.0	0.157
21	"ENSG00000147050.10"	"KDM6A"	chrX	+	44919266	44919401	44919853	44920009	44918491	44918711	44920568	44920664	21	5,5	5,2	3,0	10,2	198	198	0.00843274671741	0.08659175265851826	0.5,0.714	0.231,0.0	0.491
33	"ENSG00000100239.11"	"PPP6R2"	chr22	+	50827414	50827540	50830295	50830444	50810500	50810579	50832321	50832564	33	3,5	5,10	9,6	6,3	198	198	0.040322464833	0.24254130543971283	0.375,0.333	0.6,0.667	-0.279
34	"ENSG00000184164.10"	"CRELD2"	chr22	+	50316881	50316965	50318007	50318103	50316259	50316355	50319064	50319205	34	34,9	20,15	7,6	6,8	183	195	0.737593792358	1.0	0.644,0.39	0.554,0.444	0.018
35	"ENSG00000054611.9"	"TBC1D22A"	chr22	+	47193340	47193517	47274548	47274619	47189397	47189738	47287161	47287290	35	6,3	2,4	1,2	2,7	198	170	0.0331859642738	0.2142559260257779	0.72,0.392	0.3,0.197	0.308
37	"ENSG00000093000.14"	"NUP50"	chr22	+	45571774	45571961	45574118	45574781	45567480	45567564	45577166	45577248	37	11,18	12,12	5,0	9,4	198	198	0.0328603309058	0.2139370051037125	0.478,0.6	0.357,0.0	0.36
38	"ENSG00000241484.5"	"ARHGAP8"	chr22	+	45197956	45198044	45204186	45204318	45182336	45182486	45210551	45210638	38	7,8	6,2	17,6	8,0	187	198	0.402305807903	0.8738456385614001	0.553,0.809	0.692,1.0	-0.165
40	"ENSG00000239900.7"	"ADSL"	chr22	+	40745835	40746039	40749076	40749121	40742506	40742715	40750251	40750331	40	32,26	26,17	19,17	6,2	198	144	0.00402321726585	0.047767181266575	0.472,0.527	0.697,0.861	-0.279
42	"ENSG00000100354.16"	"TNRC6B"	chr22	+	40660691	40663040	40666125	40666284	40657835	40658177	40669428	40669604	42	4,4	3,6	6,2	3,3	198	198	0.596335290549	1.0	0.571,0.4	0.667,0.4	-0.048
