ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
7	"ENSG00000291033.1"	"TXLNGY"	chrY	+	19567349	19567570	19567349	19567482	19587209	19587507	7	60,66	50,49	94,80	68,41	237	149	0.270893384491	0.7683782087825203	0.43,0.459	0.465,0.551	-0.064
11	"ENSG00000156463.18"	"SH3RF2"	chr5	+	146055980	146056231	146055980	146056213	146059865	146060224	11	0,0	0,2	4,1	15,11	167	149	1	1.0	NA,0.0	0.192,0.075	-0.134
12	"ENSG00000107537.14"	"PHYH"	chr10	-	13291824	13291912	13291830	13291912	13288359	13288541	12	14,13	155,201	4,3	93,86	155	149	0.0552789646391	0.2722700274648313	0.08,0.059	0.04,0.032	0.034
13	"ENSG00000133019.12"	"CHRM3"	chr1	+	239545640	239545753	239545640	239545749	239554750	239556966	13	0,0	5,8	2,12	27,26	153	149	0.000214385891364	0.004940579656795097	0.0,0.0	0.067,0.31	-0.189
14	"ENSG00000133019.12"	"CHRM3"	chr1	+	239545640	239545753	239545640	239545749	239632223	239632286	14	1,1	25,26	2,12	91,70	153	149	0.0397402725607	0.21728299195304232	0.037,0.036	0.021,0.143	-0.045
15	"ENSG00000133019.12"	"CHRM3"	chr1	+	239545640	239545753	239545640	239545749	239678185	239678288	15	0,0	3,10	4,14	25,66	153	149	0.000228224286935	0.0051495113756319716	0.0,0.0	0.135,0.171	-0.153
16	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91311645	91312413	91312294	91312413	91310640	91311032	16	3,1	3,0	21,25	15,12	298	149	0.898666374179	1.0	0.333,1.0	0.412,0.51	0.206
17	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91313961	91314404	91314079	91314404	91313637	91313777	17	4,3	15,4	17,12	96,60	267	149	0.440285945067	1.0	0.13,0.295	0.09,0.1	0.117
18	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91314079	91314247	91314164	91314247	91313637	91313777	18	19,9	2,0	181,112	14,9	234	149	0.111686462954	0.4334008779772736	0.858,1.0	0.892,0.888	0.039
19	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91314079	91314402	91314164	91314402	91313637	91313781	19	4,5	2,0	89,55	6,0	234	149	0.63821614694	1.0	0.56,1.0	0.904,1.0	-0.172
20	"ENSG00000048740.19"	"CELF2"	chr10	+	11314138	11314270	11314138	11314258	11321206	11321386	20	1,1	0,2	1,2	1,1	161	149	0.66004111104	1.0	1.0,0.316	0.481,0.649	0.093
21	"ENSG00000135048.14"	"CEMIP2"	chr9	-	71730704	71730914	71730738	71730914	71730047	71730253	21	766,729	4,0	2075,2445	2,11	183	149	1	1.0	0.994,1.0	0.999,0.995	0.0
23	"ENSG00000165632.9"	"TAF3"	chr10	+	7824317	7824564	7824317	7824560	7963919	7965742	23	1,0	41,35	0,0	55,74	153	149	1	1.0	0.023,0.0	0.0,0.0	0.011
24	"ENSG00000067057.19"	"PFKP"	chr10	+	3109354	3109609	3109354	3109480	3112221	3112286	24	0,0	902,843	11,2	2032,1920	278	149	1	1.0	0.0,0.0	0.003,0.001	-0.002
26	"ENSG00000181090.21"	"EHMT1"	chr9	+	137728348	137728593	137728348	137728529	137743370	137743528	26	0,1	21,21	1,0	15,14	213	149	1	1.0	0.0,0.032	0.045,0.0	-0.006
27	"ENSG00000181090.21"	"EHMT1"	chr9	+	137728348	137728593	137728348	137728529	137743391	137743528	27	0,2	76,82	0,0	23,54	213	149	1	1.0	0.0,0.017	0.0,0.0	0.009
28	"ENSG00000181090.21"	"EHMT1"	chr9	+	137776617	137776844	137776617	137776840	137777881	137778055	28	103,139	0,0	82,54	0,1	153	149	1	1.0	1.0,1.0	1.0,0.981	0.01
30	"ENSG00000108679.13"	"LGALS3BP"	chr17	-	78976994	78977214	78977139	78977214	78975964	78976156	30	24,21	462,626	31,46	543,550	294	149	0.0129670296103	0.09752667340704507	0.026,0.017	0.028,0.041	-0.013
32	"ENSG00000148362.11"	"PAXX"	chr9	+	136992639	136992974	136992639	136992700	136993052	136993243	32	341,304	8,2	200,161	5,4	298	149	0.413960088335	0.9839229399297774	0.955,0.987	0.952,0.953	0.019
34	"ENSG00000159069.14"	"FBXW5"	chr9	-	136941754	136942466	136942045	136942466	136941536	136941684	34	102,65	358,367	50,89	264,233	298	149	0.265535159102	0.7620014776200698	0.125,0.081	0.087,0.16	-0.02
35	"ENSG00000159069.14"	"FBXW5"	chr9	-	136941754	136942466	136942099	136942466	136941536	136941684	35	460,369	32,29	258,292	14,29	298	149	0.891355554948	1.0	0.878,0.864	0.902,0.834	0.003
