status	loglr	df	p	cluster	p.adjust
Success	0.121312191334823	1	0.622317039711016	chr1:clu_1_-	0.756119595757038
Success	2.38637448202428	1	0.0289136230713584	chr1:clu_10_-	0.102670431147391
Success	3.55573717628192	1	0.00765920898551274	chr1:clu_100_-	0.0421331805992635
Success	0.428066923680035	2	0.651767794639792	chr1:clu_1000_+	0.779460223837605
Success	1.25791491510461	2	0.284246086258871	chr1:clu_1001_+	0.457234273618255
Not enough valid samples	NA	NA	NA	chr1:clu_1002_+	NA
Success	0.0271504082123215	1	0.815741716634247	chr1:clu_1003_+	0.894047807563973
Success	13.9668210069613	22	0.177890813680978	chr1:clu_1004_+	0.335124577278555
Not enough valid samples	NA	NA	NA	chr1:clu_1005_+	NA
Success	0.0779443526471368	5	0.999517201008112	chr1:clu_1006_+	1
Success	0.787477295888351	1	0.209488943297548	chr1:clu_1007_+	0.374795616654343
Success	1.35529004426644	2	0.257872489166973	chr1:clu_1008_+	0.429685075396762
Success	1.35569086058615	1	0.099634659552307	chr1:clu_1009_+	0.225853364208015
Success	0.248598761112305	1	0.48073410157928	chr1:clu_101_-	0.64302855499947
Success	1.51538509814088	1	0.0816992262579704	chr1:clu_1010_+	0.19887838209913
Success	4.88318140081253	3	0.0206601962627301	chr1:clu_1011_+	0.0823768589093006
Success	0.200676613179041	2	0.81817697642778	chr1:clu_1012_+	0.895910619244672
Success	0.911778648915799	2	0.401808911092849	chr1:clu_1013_+	0.573448967629832
Success	4.57039314509916	4	0.0576752286169206	chr1:clu_1014_+	0.1580306880731
Success	0.06171213006985	2	0.940153489759419	chr1:clu_1015_+	0.97131831919835
Success	5.21074867462357	2	0.00545758620143812	chr1:clu_1016_+	0.0338685147021027
Success	5.11870646302782	1	0.00137620468623322	chr1:clu_1017_+	0.0138599048013173
Success	0.296757030741446	1	0.441063461080533	chr1:clu_1018_+	0.607925192076612
Success	0.906215873883042	1	0.178216793992492	chr1:clu_1019_+	0.335475724761439
Success	4.79143586457258	2	0.00830053038368364	chr1:clu_102_-	0.0446727438494643
Success	0.404813392614585	1	0.36823061475468	chr1:clu_1020_+	0.542265378848396
Success	4.73819241718758	1	0.00208133711298935	chr1:clu_1021_+	0.0182222855690437
Success	0.975250669302909	1	0.162532836961658	chr1:clu_1022_+	0.315069284955646
Success	0.256442666686326	2	0.773799357769015	chr1:clu_1023_+	0.865890690476799
Success	6.41766377968031	2	0.00163246558258305	chr1:clu_1024_+	0.0154924999181694
Success	1.46986719725092	1	0.0864249431419642	chr1:clu_1025_+	0.206148993979058
Not enough valid samples	NA	NA	NA	chr1:clu_1026_+	NA
Success	0.242813662056335	2	0.784417666929224	chr1:clu_1027_+	0.872603638101938
Not enough valid samples	NA	NA	NA	chr1:clu_1028_+	NA
Success	0.204473831850123	1	0.522504113470982	chr1:clu_1029_+	0.679723116570959
Success	3.64295791169724	1	0.00694972923396604	chr1:clu_103_-	0.0395687318520993
Success	6.05016489385218	2	0.00235747324159442	chr1:clu_1030_+	0.0198483619823956
Success	0.00152344617862354	1	0.95598019437171	chr1:clu_1031_+	0.978899680050789
Success	0.895243328045126	4	0.774222412164416	chr1:clu_1032_+	0.866102515021072
Success	3.34451629102659	2	0.0352772749657486	chr1:clu_1033_+	0.115192640523278
Success	4.95892958979977	2	0.00702043856113402	chr1:clu_1034_+	0.0398335127081788
Success	0.330106900436846	1	0.416484473682524	chr1:clu_1035_+	0.587203222786512
Success	2.91983614738137	3	0.119676463894558	chr1:clu_1036_+	0.25564336665067
Success	2.06121790637212	2	0.127298837380348	chr1:clu_1037_+	0.266731590158936
Success	0.980048010247799	1	0.161503049621635	chr1:clu_1038_+	0.313834251861145
Success	4.83423575954123	1	0.00187457205684379	chr1:clu_1039_+	0.0169149893096977
Success	0.167065996175893	1	0.563236091495487	chr1:clu_104_-	0.711131643843716
Success	0.264914820647391	1	0.466678490617231	chr1:clu_1040_+	0.630653037992585
Success	1.12996337337972	1	0.13276034074896	chr1:clu_1041_+	0.274271686233404
Success	0.594275119673057	2	0.551962527665612	chr1:clu_1042_+	0.702206790454864
Success	5.15753523225521	4	0.0354419667559188	chr1:clu_1043_+	0.115379739898742
Success	4.24910676461877	4	0.0749413971234358	chr1:clu_1044_+	0.188516027970801
Success	0.399287780934856	1	0.371519594610074	chr1:clu_1045_+	0.544780262778738
Success	0.613225148108995	1	0.268098483241351	chr1:clu_1046_+	0.440492500585532
Success	4.07868577619956	1	0.00428864815460678	chr1:clu_1047_+	0.029228444971115
Success	8.76544845814806	4	0.00152372395529474	chr1:clu_1048_+	0.0148122913429999
Success	3.12041524336462	2	0.0441388362549245	chr1:clu_1049_+	0.133154337788178
Success	0.621372587719975	1	0.264942646755629	chr1:clu_105_-	0.437246693812748
Success	3.52824452535333	1	0.00789786327198573	chr1:clu_1050_+	0.0430649084552867
Success	0.131383754836861	1	0.608225182012	chr1:clu_1051_+	0.745311455552697
Success	2.39809609214217	2	0.0908908364380961	chr1:clu_1052_+	0.212224033578017
Success	4.78305428528529	2	0.00837039431325385	chr1:clu_1053_+	0.0449191088589916
Success	0.0889832556173928	1	0.673126644169151	chr1:clu_1054_+	0.796393178851224
Success	1.82624656092975	1	0.0559853475767317	chr1:clu_1055_+	0.155246605709059
Success	11.9013091335678	3	2.74658895170525e-05	chr1:clu_1056_+	0.000951442222310527
Success	15.0091193725884	3	1.36791935433192e-06	chr1:clu_1057_+	0.000108855735685429
Success	0.74953389533789	1	0.220814853273043	chr1:clu_1058_+	0.388596633103503
Success	0.338983603825	2	0.712494131171882	chr1:clu_1059_+	0.824968800019809
Success	1.66443628357865	3	0.343644295161233	chr1:clu_106_-	0.518198924334101
Success	2.4160312615486	1	0.0279351923469749	chr1:clu_1060_+	0.100278109454701
Success	0.0143884682120188	1	0.865295101674821	chr1:clu_1061_+	0.925778054373645
Success	1.67892508401201	3	0.339671797575055	chr1:clu_1062_+	0.514795570612886
Success	0.0254224855723351	1	0.821599430226576	chr1:clu_1063_+	0.897478866035845
Success	3.75788517237061	1	0.00611611231382118	chr1:clu_1064_+	0.0366344650317694
Success	3.03103940145797	2	0.0482654448713465	chr1:clu_1065_+	0.140745911562548
Success	0.0598892243875184	1	0.729274903997067	chr1:clu_1066_+	0.835451715042816
Success	3.06394851690789	3	0.105550873121025	chr1:clu_1067_+	0.23465303384684
Success	5.25513951253743	2	0.00522061789951983	chr1:clu_1068_+	0.0328719716813323
Success	2.4088725590143	3	0.185639652246426	chr1:clu_1069_+	0.344364656343263
Not enough valid samples	NA	NA	NA	chr1:clu_107_-	NA
Success	3.71954367930437	1	0.00638222466802416	chr1:clu_1070_+	0.0376241895735102
Not enough valid samples	NA	NA	NA	chr1:clu_1071_+	NA
Success	0.720219918339353	2	0.486645221981963	chr1:clu_1072_+	0.647499727204141
Success	7.9238099417492	2	0.000362020418964783	chr1:clu_1073_+	0.00564956172547076
Success	3.58310649022633	2	0.0277892370360625	chr1:clu_1074_+	0.0999723577418038
Success	0.0144525493137735	2	0.985651387457485	chr1:clu_1075_+	0.99386291698747
Success	12.2640894204796	8	0.00186794261576783	chr1:clu_1076_+	0.0169037887391774
Success	1.50776240968393	1	0.0824707557194357	chr1:clu_1077_+	0.200383341095497
Success	3.63839677320215	1	0.0069851111745231	chr1:clu_1078_+	0.0397338123699741
