ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2	"ENSG00000133019.12"	"CHRM3"	chr1	+	239545640	239545749	239632223	239632286	239492708	239492807	239678185	239678288	2	2,1	3,3	7,4	1,1	198	162	0.00124011247631	0.023649162486824034	0.353,0.214	0.851,0.766	-0.525
3	"ENSG00000133019.12"	"CHRM3"	chr1	+	239545640	239545753	239632223	239632286	239492708	239492807	239678185	239678288	3	1,1	3,3	6,1	1,1	198	162	0.00214091179526	0.033245301734965996	0.214,0.214	0.831,0.45	-0.426
4	"ENSG00000165609.14"	"NUDT5"	chr10	-	12170716	12170770	12170899	12170908	12165329	12167811	12172764	12172866	4	21,7	68,58	5,2	26,16	108	153	0.409802134295	0.9538980728414291	0.304,0.146	0.214,0.15	0.043
6	"ENSG00000284626.1"	"ENSG00000284626"	chr15	+	90240899	90241724	90244117	90244217	90238491	90238548	90251553	90251594	6	7,4	0,0	5,5	1,0	198	198	1	1.0	1.0,1.0	0.833,1.0	0.084
7	"ENSG00000151461.20"	"UPF2"	chr10	-	11999905	12000009	12001675	12001825	11997671	11997757	12004529	12004727	7	9,13	21,16	3,6	12,8	198	198	0.525017222634	1.0	0.3,0.448	0.2,0.429	0.059
12	"ENSG00000015171.21"	"ZMYND11"	chr10	+	237584	237677	239437	239525	236837	236915	240055	240111	12	41,36	34,24	9,4	10,5	192	187	0.295555896325	0.8041783712272216	0.54,0.594	0.467,0.438	0.114
14	"ENSG00000148396.19"	"SEC16A"	chr9	-	136445051	136445111	136445644	136445719	136443822	136443900	136446854	136446949	14	9,4	0,4	2,4	1,0	174	159	0.0423979630678	0.2739711347991341	1.0,0.477	0.646,1.0	-0.085
15	"ENSG00000165533.19"	"TTC8"	chr14	+	88841424	88841557	88843805	88843850	88841036	88841196	88852970	88853056	15	25,14	8,11	10,8	12,7	198	144	0.10995286407	0.4566838238603848	0.694,0.481	0.377,0.454	0.172
19	"ENSG00000175354.20"	"PTPN2"	chr18	-	12817155	12817365	12825809	12825944	12814202	12814355	12830942	12831041	19	19,15	7,7	13,11	12,7	198	198	0.13725321889	0.5328366033336785	0.731,0.682	0.52,0.611	0.141
21	"ENSG00000165699.15"	"TSC1"	chr9	-	132903650	132903817	132904410	132904454	132902604	132902787	132905580	132906139	21	0,2	3,6	2,0	7,4	143	198	0.96305676874	1.0	0.0,0.316	0.283,0.0	0.017
22	"ENSG00000165699.15"	"TSC1"	chr9	-	132925586	132925739	132927200	132927304	132923347	132923492	132928766	132928952	22	11,12	5,5	16,12	6,4	198	198	0.702245545664	1.0	0.688,0.706	0.727,0.75	-0.041
25	"ENSG00000171097.14"	"KYAT1"	chr9	-	128838217	128838367	128842653	128842801	128838050	128838137	128845352	128845411	25	4,8	3,4	11,2	5,7	198	198	0.381196958772	0.9228532164480268	0.571,0.667	0.688,0.222	0.164
31	"ENSG00000148337.22"	"CIZ1"	chr9	-	128187862	128187934	128190328	128190444	128185546	128185776	128190687	128190862	31	6,6	4,5	1,1	4,1	198	171	0.0287018721914	0.21231512082000065	0.564,0.509	0.178,0.463	0.216
32	"ENSG00000148356.15"	"LRSAM1"	chr9	+	127454997	127455054	127455575	127455620	127454495	127454599	127457315	127457393	32	14,26	3,2	6,4	0,1	156	144	0.0389522019713	0.25976100333008034	0.812,0.923	1.0,0.787	-0.026
33	"ENSG00000148356.15"	"LRSAM1"	chr9	+	127493750	127494081	127495319	127495414	127492801	127492897	127495963	127496095	33	0,1	12,14	0,0	4,4	198	194	1	1.0	0.0,0.065	0.0,0.0	0.033
34	"ENSG00000148356.15"	"LRSAM1"	chr9	+	127493750	127494081	127495319	127495418	127492801	127492897	127495963	127496095	34	0,1	15,22	0,0	6,7	198	198	1	1.0	0.0,0.043	0.0,0.0	0.021
