ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
6	"ENSG00000165609.14"	"NUDT5"	chr10	-	12170716	12170908	12170716	12170770	12170899	12170908	6	23,34,53	375,409,321	28,52,35	326,521,353	278	149	0.829052590756	1.0	0.032,0.043,0.081	0.044,0.051,0.05	0.004
7	"ENSG00000174106.3"	"LEMD3"	chr12	+	65245668	65245939	65245668	65245774	65245860	65245939	7	1,5,5	45,49,17	2,8,3	25,20,22	235	149	0.177137484701	0.5292288005781676	0.014,0.061,0.157	0.048,0.202,0.08	-0.033
8	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91310626	91312413	91310626	91311032	91312294	91312413	8	2,3,0	0,0,0	6,22,18	5,4,1	298	149	1	1.0	1.0,1.0,NA	0.375,0.733,0.9	0.331
10	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91310626	91313229	91310626	91312413	91313077	91313229	10	2,0,0	1,0,0	10,7,6	3,4,1	298	149	1	1.0	0.5,NA,NA	0.625,0.467,0.75	-0.114
11	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91310626	91313229	91310626	91312495	91313077	91313229	11	2,0,1	1,1,0	3,10,5	3,0,3	298	149	0.0573682672451	0.26722858403853733	0.5,0.0,1.0	0.333,1.0,0.455	-0.096
13	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91314079	91314386	91314079	91314244	91314331	91314386	13	2,6,2	0,1,0	27,23,20	1,0,2	236	149	0.707703188175	1.0	1.0,0.791,1.0	0.945,1.0,0.863	-0.006
14	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91314079	91314402	91314079	91314247	91314331	91314402	14	2,6,2	0,0,0	27,23,20	0,0,2	233	149	1	1.0	1.0,1.0,1.0	1.0,1.0,0.865	0.045
15	"ENSG00000048740.19"	"CELF2"	chr10	+	11328925	11334358	11328925	11329097	11330455	11334358	15	249,237,236	185,160,143	229,427,209	77,182,89	298	149	1.03314713111e-05	0.0008396447507891624	0.402,0.425,0.452	0.598,0.54,0.54	-0.133
16	"ENSG00000013441.17"	"CLK1"	chr2	-	200856890	200857884	200856890	200856985	200857717	200857884	16	6,5,9	44,34,34	15,29,10	38,76,20	298	149	0.00286133981675	0.03743586260247917	0.064,0.068,0.117	0.165,0.16,0.2	-0.092
17	"ENSG00000013441.17"	"CLK1"	chr2	-	200859679	200861466	200859679	200859746	200861237	200861466	17	16,26,20	10,8,17	16,29,20	33,26,30	298	149	0.00870042946231	0.0802437472972463	0.444,0.619,0.37	0.195,0.358,0.25	0.21
