status	loglr	df	p	cluster	p.adjust
Success	5.85222859700656	2	0.00287348816985336	chr1:clu_1_+	0.015668788689826
Success	2.31315405002169	2	0.0989486698153703	chr1:clu_10_+	0.193951182188162
Success	9.17992977206904	3	0.000370724343306135	chr1:clu_100_+	0.0037953585535533
Success	35.2134857067613	11	1.01335643745678e-10	chr1:clu_1000_-	3.42948771476446e-08
Success	4.7769947711588	1	0.00199515310333342	chr1:clu_1001_-	0.0121130643305917
Success	2.28925033139785	2	0.101342406603926	chr1:clu_1002_-	0.197401875715098
Success	4.93122505875942	2	0.00721765581067385	chr1:clu_1003_-	0.0298093211567056
Success	3.69276113848764	2	0.0249031459906169	chr1:clu_1004_-	0.0718581642530711
Success	1.84007592994374	1	0.0550638347110944	chr1:clu_1005_-	0.127388891045491
Success	4.09080996451439	2	0.0167256808627423	chr1:clu_1006_-	0.0541151843264635
Success	11.1548466546756	2	1.43057836033942e-05	chr1:clu_1007_-	0.000379087263494865
Success	4.70511744639089	2	0.00904885140055332	chr1:clu_1008_-	0.0348564698665216
Success	7.38785087150973e-06	1	0.996933005126979	chr1:clu_1009_-	0.999379777058993
Success	0.475726907647186	2	0.621433167722394	chr1:clu_101_+	0.733018058969983
Success	0.602180395007281	2	0.547616313553958	chr1:clu_1010_-	0.67305694595828
Success	7.59548902813856	1	9.71665419134583e-05	chr1:clu_1011_-	0.00153050224596398
Success	0.95556466080734	2	0.384594917552319	chr1:clu_1012_-	0.522482715725109
Success	0.205975056146826	1	0.520981361302599	chr1:clu_1013_-	0.649216087184493
Success	8.26417100874642	3	0.000883475201480589	chr1:clu_1014_-	0.00678208928161865
Success	1.70541322731901	2	0.181697288376857	chr1:clu_1015_-	0.302912103828685
Success	0.208990327991842	1	0.517946381294733	chr1:clu_1016_-	0.647023295342345
Success	9.60836991838005	4	0.00071250287274814	chr1:clu_1017_-	0.00588323119512625
Success	4.47442793233949	2	0.0113967399663823	chr1:clu_1018_-	0.0412070771983511
Success	2.17809329089454	1	0.0368747624389385	chr1:clu_1019_-	0.0955131338485079
Success	14.3537271604655	5	2.6461642107309e-05	chr1:clu_102_+	0.00058696282914059
Success	13.6211841951408	6	0.000130423767855646	chr1:clu_1020_-	0.00185014315000015
Success	0.0604761399265499	1	0.72800395156683	chr1:clu_1021_-	0.816591553627756
Success	2.43639007240427	2	0.0874760644306286	chr1:clu_1022_-	0.177362886542416
Success	3.74246090138581	2	0.0236957184948718	chr1:clu_1023_-	0.0693423930512405
Success	10.9057116994504	2	1.83531066245871e-05	chr1:clu_1024_-	0.000448232057666462
Success	0.0408289673964646	1	0.775063076043824	chr1:clu_1025_-	0.851950829225974
Success	5.00374300889132	2	0.00671277394443212	chr1:clu_1026_-	0.0283771618029259
Success	0.420672671359114	2	0.656604991856937	chr1:clu_1027_-	0.762349159826055
Success	0.422482090391469	1	0.35798086129971	chr1:clu_1028_-	0.496468009410249
Success	4.27631544826647	2	0.0138937601700244	chr1:clu_1029_-	0.0473314895639744
Success	4.84708821204549e-05	1	0.992144234622012	chr1:clu_103_+	0.996560614414209
Success	3.92592370796592	3	0.0491748895132529	chr1:clu_1030_-	0.117505863684584
Success	0.695447339030807	2	0.498851242433274	chr1:clu_1031_-	0.629676030786281
Success	5.57510529582805	1	0.000840221343164171	chr1:clu_1032_-	0.00653474839775417
Success	18.8381568470022	5	4.38243434150766e-07	chr1:clu_1033_-	2.93309426958182e-05
Success	7.44566573214843	4	0.0049319918138724	chr1:clu_1034_-	0.0229636175453296
Success	0.842491456042126	2	0.430636274414819	chr1:clu_1035_-	0.565759391131713
Success	0.663468008510563	5	0.93213572858232	chr1:clu_1036_-	0.959515747376169
Success	0.427671637000628	1	0.355045132947635	chr1:clu_1037_-	0.493604413117927
Success	0.0100302693762728	1	0.887368136879764	chr1:clu_1038_-	0.929507921943828
Success	4.747070997273	2	0.00867707318991676	chr1:clu_1039_-	0.0339430710660697
Success	1.63900445081811	1	0.0702140633805617	chr1:clu_104_+	0.150941121731897
Success	10.0493091635581	4	0.0004775024550056	chr1:clu_1040_-	0.00449961541729621
Success	1.4114311833082	2	0.243794119280132	chr1:clu_1041_-	0.375599713223044
Success	3.67026233783713	2	0.0254697873812407	chr1:clu_1042_-	0.073119154515462
Success	0.873313969711887	1	0.186301209524571	chr1:clu_1043_-	0.30882882763617
Success	3.97926821512533	3	0.0468764504019021	chr1:clu_1044_-	0.113478756388827
