ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
14	"ENSG00000184216.7"	"IRAK1"	chrX	-	153278493	153278884	153278493	153278794	153279492	153279729	14	14,6	3,0	1,0	0,0	189	99	1	1.0	0.71,1.0	1.0,NA	-0.145
18	"ENSG00000183479.8"	"TREX2"	chrX	-	152720999	152721224	152720999	152721106	152721722	152721822	18	10,1	0,0	1,2	1,0	198	99	1	1.0	1.0,1.0	0.333,1.0	0.334
19	"ENSG00000155984.10"	"TMEM185A"	chrX	-	148690313	148690521	148690313	148690516	148692969	148693146	19	3,11	0,1	11,11	0,2	104	99	1	1.0	1.0,0.913	1.0,0.84	0.037
21	"ENSG00000241769.3"	"LINC00893"	chrX	-	148617705	148617787	148617705	148617745	148619646	148619704	21	3,0	0,0	2,0	0,2	141	99	1	1.0	1.0,NA	1.0,0.0	0.5
25	"ENSG00000147274.10"	"RBMX"	chrX	-	135961175	135961317	135961175	135961282	135961477	135961612	25	3,3	97,103	0,1	32,4	134	99	0.540430248683	1.0	0.022,0.021	0.0,0.156	-0.057
27	"ENSG00000156504.12"	"FAM122B"	chrX	-	133903596	133906313	133903596	133905384	133915850	133915947	27	5,2	0,1	4,0	2,0	198	99	1	1.0	1.0,0.5	0.5,NA	0.25
28	"ENSG00000156504.12"	"FAM122B"	chrX	-	133919915	133919980	133919915	133919977	133921501	133921563	28	2,0	0,1	1,1	1,1	102	99	0.0460722439629	0.3057875095090367	1.0,0.0	0.493,0.493	0.007
29	"ENSG00000156531.12"	"PHF6"	chrX	+	133547517	133547687	133547520	133547687	133527938	133527982	29	2,6	17,10	3,4	17,5	102	99	0.874120555659	1.0	0.102,0.368	0.146,0.437	-0.056
31	"ENSG00000102038.11"	"SMARCA1"	chrX	-	128580481	128581278	128580481	128581210	128582278	128582420	31	12,5	0,1	4,0	0,0	167	99	1	1.0	1.0,0.748	1.0,NA	-0.126
34	"ENSG00000125676.15"	"THOC2"	chrX	-	122744768	122744814	122744768	122744808	122745290	122745367	34	11,6	3,0	5,3	3,0	105	99	0.558746069309	1.0	0.776,1.0	0.611,1.0	0.083
35	"ENSG00000125676.15"	"THOC2"	chrX	-	122753251	122753368	122753251	122753287	122754757	122754816	35	7,7	20,15	10,4	12,9	180	99	0.35360325025	1.0	0.161,0.204	0.314,0.196	-0.073
42	"ENSG00000157600.7"	"TMEM164"	chrX	+	109246728	109247392	109247110	109247392	109246322	109246384	42	1,6	0,0	4,6	3,0	198	99	0.0356439173361	0.2600007574501639	1.0,1.0	0.4,1.0	0.3
43	"ENSG00000166681.9"	"NGFRAP1"	chrX	+	102632390	102633005	102632437	102633005	102631955	102632034	43	17,6	61,22	4,1	12,9	146	99	0.406422251863	1.0	0.159,0.156	0.184,0.07	0.03
44	"ENSG00000125962.10"	"ARMCX5"	chrX	+	101854633	101854775	101854639	101854775	101854275	101854500	44	1,2	0,0	0,0	1,0	105	99	1	1.0	1.0,1.0	0.0,NA	1.0
46	"ENSG00000184867.9"	"ARMCX2"	chrX	-	100913446	100913555	100913446	100913511	100914061	100914122	46	3,3	2,1	5,3	11,2	143	99	0.160984158431	0.6899947716947221	0.509,0.675	0.239,0.509	0.218
47	"ENSG00000184867.9"	"ARMCX2"	chrX	-	100914061	100914134	100914061	100914122	100914404	100914487	47	4,2	0,2	11,3	3,0	111	99	0.600512388384	1.0	1.0,0.471	0.766,1.0	-0.147
51	"ENSG00000101811.9"	"CSTF2"	chrX	+	100081622	100081746	100081673	100081746	100079108	100079246	51	25,17	0,0	8,0	1,0	150	99	1	1.0	1.0,1.0	0.841,NA	0.159
57	"ENSG00000102316.12"	"MAGED2"	chrX	+	54836154	54836646	54836550	54836646	54835735	54835809	57	385,296	1,0	89,76	0,0	198	99	1	1.0	0.995,1.0	1.0,1.0	-0.002
61	"ENSG00000049769.8"	"PPP1R3F"	chrX	+	49138443	49138526	49138446	49138526	49137868	49137924	61	4,1	6,3	1,1	0,0	102	99	2.20736647849e-07	6.3130681284814e-05	0.393,0.244	1.0,1.0	-0.681
65	"ENSG00000196998.11"	"WDR45"	chrX	-	48933203	48933412	48933203	48933322	48933524	48933604	65	10,13	7,2	3,2	0,0	189	99	1.01282802388e-05	0.0011379846296880286	0.428,0.773	1.0,1.0	-0.399
