status	loglr	df	p	cluster	p.adjust
Success	1.60086867489392	1	0.0735600886870156	chr1:clu_1_+	0.252427987119355
Not enough valid samples	NA	NA	NA	chr1:clu_10_+	NA
Success	0.366150825423347	2	0.693398211243782	chr1:clu_100_+	0.828956939273769
Success	1.35227630595136	1	0.100062148887578	chr1:clu_101_+	0.300637802643144
Success	0.586746698143543	2	0.556133615395285	chr1:clu_102_+	0.740677350914815
Success	4.51240050799095	1	0.00266340917688875	chr1:clu_103_+	0.0351026789386296
Success	0.319615967288769	1	0.423989061676617	chr1:clu_104_+	0.642966513536291
Success	2.97456592810158	1	0.0147245359378491	chr1:clu_105_+	0.0999998091653612
Success	2.26103910163329	4	0.339937597762259	chr1:clu_106_+	0.578521945562774
Success	0.769321931577508	1	0.214819776325975	chr1:clu_107_+	0.457933147022801
Success	6.22569766051129e-05	1	0.991096924427349	chr1:clu_108_+	0.99650417836646
Success	0.614169481462909	2	0.541090094102923	chr1:clu_109_+	0.72968371357066
Success	2.54784827924482	4	0.277618619896389	chr1:clu_11_+	0.522473294866949
Success	9.78068302483848	3	0.000209241979727292	chr1:clu_110_+	0.00661275755177284
Success	5.09986849542759	1	0.00140460685108091	chr1:clu_111_+	0.0235251271247769
Success	0.12922494193981	2	0.878776269672611	chr1:clu_112_+	0.941981148687192
Success	2.45466126977772	2	0.0858922848268935	chr1:clu_113_+	0.276792442990722
Success	0.884297164166526	1	0.183556137682192	chr1:clu_114_+	0.423166292915363
Success	1.21215811522029	4	0.658237445416913	chr1:clu_115_+	0.806862689675121
Success	5.86464650884665	2	0.00283802608530638	chr1:clu_116_+	0.0366296095131159
Success	0.0899193668831231	2	0.91400488136244	chr1:clu_117_+	0.959383452400656
Not enough valid samples	NA	NA	NA	chr1:clu_118_+	NA
Success	1.47469747049297	2	0.228847949831174	chr1:clu_119_+	0.477014049778653
Success	0.791005374235169	1	0.208471299011805	chr1:clu_12_+	0.45275971360502
Success	1.19765979969088	2	0.301899892094457	chr1:clu_120_+	0.546522528099146
Success	1.46385365515442	2	0.231343038430366	chr1:clu_121_+	0.479052015645164
Success	0.0792994779910714	1	0.690449712913473	chr1:clu_122_+	0.826979259087474
Success	1.91635626173593	4	0.429118883707193	chr1:clu_123_+	0.647567168703483
Success	0.331308620961522	1	0.415637476281247	chr1:clu_124_+	0.637443306255635
Success	0.897845785007405	1	0.180234236989877	chr1:clu_125_+	0.418068110928301
Not enough valid samples	NA	NA	NA	chr1:clu_126_+	NA
Success	0.251939119075473	1	0.477800996628734	chr1:clu_127_+	0.684979938709967
Not enough valid samples	NA	NA	NA	chr1:clu_128_+	NA
Success	0.0876417102345215	1	0.67545832603026	chr1:clu_129_+	0.817441459831729
Success	0.734540542175409	3	0.68942456209028	chr1:clu_13_+	0.826259831576434
Success	0.779675143025543	2	0.458554951886013	chr1:clu_130_+	0.670374359004049
Success	2.92159444030517	2	0.0538477617752817	chr1:clu_131_+	0.210937581459977
Success	0.583543432854185	2	0.55791791516878	chr1:clu_132_+	0.740859042450589
Success	0.0619801015533881	1	0.724778398304402	chr1:clu_133_+	0.849006513922865
Success	0.0526727609490081	1	0.745506725552598	chr1:clu_134_+	0.862117199350279
Success	0.144341763643297	2	0.86559186967086	chr1:clu_135_+	0.933859955080984
Success	4.10939606546197	2	0.0164176867408845	chr1:clu_136_+	0.105782232402342
Success	0.391743026579206	1	0.376077096766448	chr1:clu_137_+	0.605175911707986
Success	5.51152095158409	4	0.0263062719896575	chr1:clu_138_+	0.14120011098897
Success	1.69700334099139	1	0.0654337639206936	chr1:clu_139_+	0.236079567412202
Not enough valid samples	NA	NA	NA	chr1:clu_14_+	NA
Success	1.64851143553824	2	0.19233600016964	chr1:clu_140_+	0.43472655324169
Success	0.41921059989545	1	0.359848699164856	chr1:clu_141_+	0.595211057510696
Success	2.63032828567901	2	0.0720548037954244	chr1:clu_142_+	0.249569018425832
Success	0.43276497467582	2	0.648712937858453	chr1:clu_143_+	0.800920997481685
Success	3.69492123079186	2	0.0248494109538253	chr1:clu_144_+	0.136616539332808
Success	5.44915659984213	2	0.00429992972326841	chr1:clu_145_+	0.0467752405449512
Success	12.0311714294194	6	0.000508645922344359	chr1:clu_146_+	0.0121667542585077
Success	0.599374615671877	1	0.273571810014784	chr1:clu_147_+	0.518803833315378
Success	0.483549967313223	2	0.616590625418583	chr1:clu_148_+	0.780335899663769
Success	0.778428670623839	2	0.459126884353171	chr1:clu_149_+	0.670978173181501
Success	10.6067722894818	3	9.5054592420673e-05	chr1:clu_15_+	0.003900842254837
Success	3.53214394859276	2	0.0292421549360516	chr1:clu_150_+	0.149726294456502
Success	0.00478066196168925	1	0.922105382935239	chr1:clu_151_+	0.964429340601067
Success	1.05205589890477	1	0.146903622448046	chr1:clu_152_+	0.372594747152205
Success	0.166010113375393	1	0.564471919874999	chr1:clu_153_+	0.745543174395993
Success	0.0456596564450251	1	0.762506575157886	chr1:clu_154_+	0.873236930867892
Success	0.937601815006929	4	0.758698522188018	chr1:clu_155_+	0.870534376581682
Success	0.0393580215799147	1	0.779044988302428	chr1:clu_156_+	0.882951643155853
Not enough valid samples	NA	NA	NA	chr1:clu_157_+	NA
Success	1.26624774964307	1	0.11152371544261	chr1:clu_158_+	0.321008603892834
Success	1.49491821570308	1	0.0837886315715268	chr1:clu_159_+	0.272691211036014
Success	5.38498652144972	1	0.00103160012042996	chr1:clu_16_+	0.0197510624692097
Success	0.166927926417884	2	0.84626060217225	chr1:clu_160_+	0.922660608689186
Success	1.16480696742292	2	0.311982879079688	chr1:clu_161_+	0.554857336143178
Not enough valid samples	NA	NA	NA	chr1:clu_162_+	NA
Not enough valid samples	NA	NA	NA	chr1:clu_163_+	NA
Not enough valid samples	NA	NA	NA	chr1:clu_164_+	NA
Not enough valid samples	NA	NA	NA	chr1:clu_165_+	NA
<=1 sample with coverage>0	NA	NA	NA	chr1:clu_166_+	NA
Success	0.226352809898884	1	0.501052891236158	chr1:clu_167_+	0.701474047730621
Success	0.977517821928757	1	0.162045244018637	chr1:clu_168_+	0.393921888814535
Success	1.28478865659008	2	0.276709058088552	chr1:clu_169_+	0.522009528102129
Success	1.64261053348162	1	0.0699062136831863	chr1:clu_17_+	0.245167235432447
Success	0.00160106636963064	1	0.954873879544351	chr1:clu_170_+	0.981744588337038
<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	chr1:clu_171_+	NA
Success	0.117587030856953	1	0.627713598684323	chr1:clu_172_+	0.788192002756315
Success	7.40374034834895	5	0.0112174092314136	chr1:clu_173_+	0.0842062601666238
Success	1.27031267735674	4	0.637376266839272	chr1:clu_174_+	0.794092193916383
Success	0.867065820808421	2	0.420182633393221	chr1:clu_175_+	0.640503231545983
Success	4.78778729066835	4	0.0482173081260062	chr1:clu_176_+	0.198305669017006
Success	13.4641400723012	3	6.09473977540908e-06	chr1:clu_177_+	0.000544065481600693
Success	4.94785029552349	4	0.0422217226298575	chr1:clu_178_+	0.185724440372966
Success	1.59968285269861	4	0.525033402375195	chr1:clu_179_+	0.718322678332566
<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	chr1:clu_18_+	NA
Success	2.43904078239393	2	0.0872444977963683	chr1:clu_180_+	0.278893188588132
Success	0.167349432775154	2	0.845903973114515	chr1:clu_181_+	0.922453154496407
Success	0.108124789522662	2	0.897515588899976	chr1:clu_182_+	0.951001894797466
Success	3.86983422833146	2	0.0208618274385298	chr1:clu_183_+	0.123418319344268
Success	13.5899792542714	2	1.25298825666207e-06	chr1:clu_184_+	0.000174993956684465
