ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
14	"ENSG00000071859.10"	"FAM50A"	chrX	+	153678028	153678279	153678028	153678083	153678230	153678279	14	3,5	50,24	9,3	33,6	198	99	0.0399598960211	0.254523320010502	0.029,0.094	0.12,0.2	-0.099
15	"ENSG00000102125.11"	"TAZ"	chrX	+	153647881	153648085	153647881	153647962	153648043	153648085	15	0,3	5,5	0,0	2,0	180	99	1	1.0	0.0,0.248	0.0,NA	0.124
16	"ENSG00000102125.11"	"TAZ"	chrX	+	153647881	153648433	153647881	153647962	153648370	153648433	16	3,1	3,2	1,0	0,0	198	99	1	1.0	0.333,0.2	1.0,NA	-0.734
17	"ENSG00000102125.11"	"TAZ"	chrX	+	153647881	153648433	153647881	153648085	153648370	153648433	17	3,1	4,4	2,0	2,1	198	99	0.283607397332	0.7950396269900956	0.273,0.111	0.333,0.0	0.025
18	"ENSG00000102125.11"	"TAZ"	chrX	+	153648370	153648603	153648370	153648433	153648550	153648603	18	4,1	11,6	1,0	4,1	198	99	0.0297132615663	0.21441602843986166	0.154,0.077	0.111,0.0	0.06
19	"ENSG00000102119.6"	"EMD"	chrX	+	153608301	153608727	153608301	153608379	153608593	153608727	19	0,0	17,14	2,0	10,5	198	99	0.429783957849	0.9670413297934848	0.0,0.0	0.091,0.0	-0.045
25	"ENSG00000147274.10"	"RBMX"	chrX	-	135954426	135957327	135954426	135954504	135957244	135957327	25	20,24	9,7	10,8	2,2	198	99	0.287091696321	0.8002775330078735	0.526,0.632	0.714,0.667	-0.112
26	"ENSG00000147274.10"	"RBMX"	chrX	-	135961175	135961612	135961175	135961282	135961477	135961612	26	4,4	97,103	0,1	32,4	198	99	0.378856102361	0.9274887063752713	0.02,0.019	0.0,0.111	-0.036
29	"ENSG00000156531.12"	"PHF6"	chrX	+	133559230	133562819	133559230	133559360	133559690	133562819	29	4,3	4,7	5,2	3,5	198	99	0.745394280699	1.0	0.333,0.176	0.455,0.167	-0.056
30	"ENSG00000102078.11"	"SLC25A14"	chrX	+	129498601	129499650	129498601	129498726	129499514	129499650	30	0,1	2,0	1,1	0,0	198	99	0.00119563786934	0.02407162973912713	0.0,1.0	1.0,1.0	-0.5
33	"ENSG00000188917.10"	"TRMT2B"	chrX	-	100306239	100306722	100306239	100306355	100306632	100306722	33	6,3	1,2	4,1	0,0	198	99	0.0169524270562	0.14482503707655725	0.75,0.429	1.0,1.0	-0.41
35	"ENSG00000198034.6"	"RPS4X"	chrX	-	71493650	71495000	71493650	71493822	71494902	71495000	35	4,12	470,429	5,3	185,101	198	99	0.698903876852	1.0	0.004,0.014	0.013,0.015	-0.005
38	"ENSG00000120509.6"	"PDZD11"	chrX	-	69509104	69509443	69509104	69509204	69509371	69509443	38	0,1	6,11	1,0	0,2	198	99	1	1.0	0.0,0.043	1.0,0.0	-0.478
40	"ENSG00000102316.12"	"MAGED2"	chrX	+	54836154	54836646	54836154	54836250	54836304	54836646	40	187,134	37,24	43,23	5,1	153	99	0.0293125672875	0.21441602843986166	0.766,0.783	0.848,0.937	-0.118
41	"ENSG00000102316.12"	"MAGED2"	chrX	+	54836154	54836646	54836154	54836241	54836355	54836646	41	310,241	28,4	75,38	4,1	198	99	0.324681430149	0.8448827572877166	0.847,0.968	0.904,0.95	-0.02
42	"ENSG00000102316.12"	"MAGED2"	chrX	+	54837253	54837562	54837253	54837337	54837478	54837562	42	350,243	1,7	75,69	0,0	198	99	0.117860894151	0.48513090096905853	0.994,0.946	1.0,1.0	-0.03
43	"ENSG00000102316.12"	"MAGED2"	chrX	+	54841680	54842440	54841680	54842123	54842313	54842440	43	12,16	118,87	0,0	41,14	198	99	9.77012796216e-05	0.003701078737244558	0.048,0.084	0.0,0.0	0.066
54	"ENSG00000126768.8"	"TIMM17B"	chrX	-	48751182	48751508	48751182	48751293	48751379	48751508	54	0,0	62,45	0,1	19,8	185	99	1	1.0	0.0,0.0	0.0,0.063	-0.032
55	"ENSG00000094631.14"	"HDAC6"	chrX	+	48664037	48664871	48664037	48664078	48664774	48664871	55	1,1	6,9	0,0	10,4	198	99	0.542297211575	1.0	0.077,0.053	0.0,0.0	0.065
56	"ENSG00000094631.14"	"HDAC6"	chrX	+	48673081	48673300	48673081	48673147	48673240	48673300	56	0,0	12,12	2,1	7,7	192	99	0.124305865656	0.4970508155883667	0.0,0.0	0.128,0.069	-0.099
65	"ENSG00000156313.8"	"RPGR"	chrX	-	38146346	38147294	38146346	38146498	38147113	38147294	65	0,0	0,1	0,3	11,0	198	99	1	1.0	NA,0.0	0.0,1.0	-0.5
66	"ENSG00000157625.11"	"TAB3"	chrX	-	30861082	30864761	30861082	30861166	30864667	30864761	66	0,1	5,5	0,1	4,5	198	99	1	1.0	0.0,0.091	0.0,0.091	0.0
73	"ENSG00000205560.8"	"CPT1B"	chr22	-	51007290	51007850	51007290	51007510	51007764	51007850	73	3,1	1,0	5,3	1,0	198	99	1	1.0	0.6,1.0	0.714,1.0	-0.057
74	"ENSG00000205560.8"	"CPT1B"	chr22	-	51009586	51009968	51009586	51009721	51009803	51009968	74	3,2	3,4	2,0	0,1	181	99	0.432658843109	0.9671000072288904	0.354,0.215	1.0,0.0	-0.216
75	"ENSG00000196576.10"	"PLXNB2"	chr22	-	50719788	50720171	50719788	50719928	50719994	50720171	75	9,6	30,39	6,4	24,16	165	99	0.908323500057	1.0	0.153,0.085	0.13,0.13	-0.011
76	"ENSG00000100429.13"	"HDAC10"	chr22	-	50684103	50684521	50684103	50684256	50684338	50684521	76	2,0	0,0	0,0	2,0	181	99	1	1.0	1.0,NA	0.0,NA	1.0
77	"ENSG00000100429.13"	"HDAC10"	chr22	-	50684726	50685164	50684726	50684805	50685107	50685164	77	2,2	1,6	2,0	5,2	198	99	0.171813415303	0.5974043751900205	0.5,0.143	0.167,0.0	0.238
