ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
7	"ENSG00000291033.1"	"TXLNGY"	chrY	+	19567349	19567570	19567349	19567482	19587209	19587507	7	109,129	119,155	257,205	203,131	237	149	0.00179673232451	0.024166834428543123	0.365,0.344	0.443,0.496	-0.115
10	"ENSG00000183878.16"	"UTY"	chrY	-	13355002	13355398	13355374	13355398	13335562	13336335	10	32,34	5,0	21,14	0,5	298	149	0.57713213034	1.0	0.762,1.0	1.0,0.583	0.09
11	"ENSG00000183878.16"	"UTY"	chrY	-	13355002	13355398	13355374	13355398	13354785	13354833	11	14,20	1,0	15,12	0,0	298	149	1	1.0	0.875,1.0	1.0,1.0	-0.062
12	"ENSG00000156463.18"	"SH3RF2"	chr5	+	146055980	146056231	146055980	146056213	146059865	146060224	12	0,0	0,3	6,2	19,19	167	149	1	1.0	NA,0.0	0.22,0.086	-0.153
13	"ENSG00000107537.14"	"PHYH"	chr10	-	13291824	13291912	13291830	13291912	13288359	13288541	13	15,10	121,108	3,2	75,62	155	149	0.00538998959381	0.053089371187151124	0.106,0.082	0.037,0.03	0.06
14	"ENSG00000133019.12"	"CHRM3"	chr1	+	239545640	239545753	239545640	239545749	239632223	239632286	14	2,0	28,15	3,4	50,57	153	149	0.190260141345	0.6156235775305186	0.065,0.0	0.055,0.064	-0.027
15	"ENSG00000133019.12"	"CHRM3"	chr1	+	239545640	239545753	239545640	239545749	239678185	239678288	15	0,1	5,5	4,4	36,26	153	149	0.0215833260854	0.14072471735772638	0.0,0.163	0.098,0.13	-0.033
16	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91311645	91312413	91312294	91312413	91310640	91311032	16	1,5	3,1	39,35	19,16	298	149	0.517844064548	1.0	0.143,0.714	0.506,0.522	-0.086
17	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91313961	91314404	91314079	91314404	91313637	91313777	17	2,0	7,17	15,11	80,90	267	149	0.0294882863843	0.17884099612700463	0.138,0.0	0.095,0.064	-0.01
18	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91314079	91314247	91314164	91314247	91313637	91313777	18	12,18	2,0	147,140	20,14	234	149	0.03253855836	0.19166147235431655	0.793,1.0	0.824,0.864	0.053
19	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91314079	91314402	91314164	91314402	91313637	91313781	19	5,1	0,0	72,54	2,2	234	149	0.18401506696	0.6035546763084627	1.0,1.0	0.958,0.945	0.048
21	"ENSG00000135048.14"	"CEMIP2"	chr9	-	71730704	71730914	71730738	71730914	71730047	71730253	21	654,628	0,3	1896,1798	13,2	183	149	1	1.0	1.0,0.994	0.992,0.999	0.001
23	"ENSG00000165632.9"	"TAF3"	chr10	+	7824317	7824564	7824317	7824560	7963919	7965742	23	2,2	50,43	0,4	82,80	153	149	0.577190850822	1.0	0.037,0.043	0.0,0.046	0.017
24	"ENSG00000067057.19"	"PFKP"	chr10	+	3109354	3109609	3109354	3109480	3112221	3112286	24	1,4	1707,1875	5,7	3158,2434	278	149	1	1.0	0.0,0.001	0.001,0.002	-0.001
26	"ENSG00000181090.21"	"EHMT1"	chr9	+	137728348	137728593	137728348	137728529	137743370	137743528	26	2,0	48,47	1,1	43,23	213	149	0.701347234623	1.0	0.028,0.0	0.016,0.03	-0.009
27	"ENSG00000181090.21"	"EHMT1"	chr9	+	137776617	137776844	137776617	137776840	137777881	137778055	27	121,70	2,0	58,60	0,0	153	149	1	1.0	0.983,1.0	1.0,1.0	-0.008
