ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
10	"ENSG00000102125.11"	"TAZ"	chrX	+	153641543	153641676	153641543	153641589	153641818	153641904	10	1,1	18,7	2,1	0,3	186	99	0.0704126606296	0.412896363666323	0.029,0.071	1.0,0.151	-0.525
11	"ENSG00000102125.11"	"TAZ"	chrX	+	153641543	153641689	153641543	153641589	153641818	153641904	11	1,1	18,7	1,1	0,3	198	99	0.62293739234	1.0	0.027,0.067	1.0,0.143	-0.524
12	"ENSG00000102125.11"	"TAZ"	chrX	+	153641543	153641695	153641543	153641589	153641818	153641904	12	1,1	18,7	1,1	0,3	198	99	0.62293739234	1.0	0.027,0.067	1.0,0.143	-0.524
13	"ENSG00000102125.11"	"TAZ"	chrX	+	153641543	153641707	153641543	153641589	153641818	153641904	13	1,1	18,7	1,1	0,3	198	99	0.62293739234	1.0	0.027,0.067	1.0,0.143	-0.524
20	"ENSG00000102125.11"	"TAZ"	chrX	+	153647881	153648085	153647881	153647962	153648370	153648433	20	4,4	3,2	2,1	0,0	198	99	7.98348804887e-06	0.0008731414823974664	0.4,0.5	1.0,1.0	-0.55
24	"ENSG00000197620.6"	"CXorf40A"	chrX	+	148623563	148623630	148623563	148623611	148626913	148627046	24	4,2	3,8	0,0	3,2	118	99	0.000110642825388	0.004998169372962261	0.528,0.173	0.0,0.0	0.351
33	"ENSG00000125676.15"	"THOC2"	chrX	-	122754225	122754816	122754757	122754816	122753251	122753287	33	6,7	20,15	1,5	12,9	198	99	0.457387289978	1.0	0.13,0.189	0.04,0.217	0.031
35	"ENSG00000232119.3"	"MCTS1"	chrX	+	119742079	119742318	119742079	119742213	119744865	119744933	35	0,0	44,29	0,1	20,14	198	99	1	1.0	0.0,0.0	0.0,0.034	-0.017
38	"ENSG00000184867.9"	"ARMCX2"	chrX	-	100914393	100914487	100914404	100914487	100914061	100914134	38	4,0	4,2	0,0	11,3	110	99	0.00987338302622	0.11398272182491756	0.474,0.0	0.0,0.0	0.237
40	"ENSG00000188917.10"	"TRMT2B"	chrX	-	100297030	100297301	100297221	100297301	100296305	100296360	40	8,8	1,2	1,0	0,0	198	99	1	1.0	0.8,0.667	1.0,NA	-0.266
48	"ENSG00000230590.3"	"FTX"	chrX	-	73500211	73500329	73500228	73500329	73494176	73494245	48	2,5	0,2	4,0	0,0	116	99	1	1.0	1.0,0.681	1.0,NA	-0.159
54	"ENSG00000182518.9"	"FAM104B"	chrX	-	55185558	55185661	55185561	55185661	55172613	55172744	54	7,3	8,13	0,0	3,13	102	99	1.59300865048e-05	0.0015046690798624725	0.459,0.183	0.0,0.0	0.321
