ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2	"ENSG00000291033.1"	"TXLNGY"	chrY	+	19588369	19588650	19588542	19588650	19587209	19587507	2	57,80	0,2	71,57	0,0	298	149	0.405418935352	1.0	1.0,0.952	1.0,1.0	-0.024
3	"ENSG00000291033.1"	"TXLNGY"	chrY	+	19588369	19589612	19589520	19589612	19587209	19587507	3	42,95	12,12	56,53	24,16	298	149	0.0426556395503	0.2594109016297128	0.636,0.798	0.538,0.624	0.136
5	"ENSG00000183878.16"	"UTY"	chrY	-	13358463	13358619	13358463	13358553	13359087	13359222	5	3,1	3,0	0,2	0,0	215	149	1	1.0	0.409,1.0	NA,1.0	-0.295
6	"ENSG00000183878.16"	"UTY"	chrY	-	13358463	13358619	13358463	13358553	13359766	13359986	6	2,0	1,1	1,2	0,0	215	149	0.0385248790182	0.2426917131189253	0.581,0.0	1.0,1.0	-0.71
7	"ENSG00000067048.17"	"DDX3Y"	chrY	+	12914883	12915227	12915066	12915227	12914563	12914649	7	89,147	3,1	99,93	0,1	298	149	0.549472590148	1.0	0.937,0.987	1.0,0.979	-0.028
9	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91310626	91312495	91310626	91312413	91313077	91313229	9	4,0	0,0	29,29	16,6	231	149	1	1.0	1.0,NA	0.539,0.757	0.352
10	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91312294	91312481	91312294	91312413	91313077	91313229	10	4,0	0,0	16,17	16,6	217	149	1	1.0	1.0,NA	0.407,0.66	0.467
12	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91310626	91313229	91310626	91311032	91313637	91313777	12	9,2	0,2	66,78	10,2	298	149	0.619698247636	1.0	1.0,0.333	0.767,0.951	-0.193
13	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91313637	91313781	91313637	91313777	91313961	91314404	13	0,0	3,0	3,6	7,0	153	149	1	1.0	0.0,NA	0.294,1.0	-0.647
14	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91313637	91313781	91313637	91313777	91314079	91314252	14	0,0	15,4	6,9	96,60	153	149	0.00162968277087	0.02747552358361788	0.0,0.0	0.057,0.127	-0.092
15	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91313637	91313781	91313637	91313777	91314164	91314402	15	2,0	2,0	8,6	14,9	153	149	1	1.0	0.493,NA	0.358,0.394	0.117
18	"ENSG00000013441.17"	"CLK1"	chr2	-	200856890	200857884	200856890	200856985	200857972	200858089	18	184,159	2,3	303,264	1,0	298	149	0.483498514809	1.0	0.979,0.964	0.993,1.0	-0.025
