status	loglr	df	p	cluster	p.adjust
Success	0.978236826024073	1	0.161890957656	chr1:clu_1_-	0.351864680168321
Success	1.23490042793264	1	0.116052627569945	chr1:clu_10_-	0.286848690626358
Success	2.99422565727502	3	0.11217344758019	chr1:clu_100_-	0.28053218964255
Success	1.79604797261953	1	0.0580549786963742	chr1:clu_1000_+	0.189105834792212
Success	2.42190274579809	1	0.0277456025629762	chr1:clu_1001_+	0.120424377834338
Success	0.176609383953121	1	0.55229669472946	chr1:clu_1002_+	0.718624290578461
Success	0.257438126909847	1	0.47303554803947	chr1:clu_1003_+	0.656528785567948
Success	1.27892076113693	1	0.109748333347867	chr1:clu_1004_+	0.276900493535488
Success	1.70247950454905	4	0.492475868306828	chr1:clu_1005_+	0.671749928163104
Success	1.25200730254346	2	0.285930271868387	chr1:clu_1006_+	0.492333870022645
Success	0.155136747691699	1	0.577512406138458	chr1:clu_1007_+	0.736097386762019
Success	2.3972827104875	1	0.0285496580595479	chr1:clu_1008_+	0.122315330723078
Success	1.44251131766441	1	0.089406749987709	chr1:clu_1009_+	0.245609662611023
Success	3.36808845225369	3	0.0807994289667498	chr1:clu_101_-	0.230218281446738
Success	4.29955453426192	2	0.0135746046868265	chr1:clu_1010_+	0.0775600305600867
Success	3.52176442495465	4	0.13360572756838	chr1:clu_1011_+	0.313620976863274
Success	1.15124330756237	2	0.316243337118494	chr1:clu_1012_+	0.523253710794187
Success	1.43843168885132	2	0.237299626653616	chr1:clu_1013_+	0.441078854468496
Success	9.10957102201644	2	0.000110602150843585	chr1:clu_1014_+	0.00324031771927339
Success	2.72762925516594	1	0.0195095173300603	chr1:clu_1015_+	0.0985014583502679
Success	4.41150645207676	2	0.0121368809218209	chr1:clu_1016_+	0.0721867909944297
Success	0.0358452278537698	2	0.96478960448598	chr1:clu_1017_+	0.980639719416821
Success	0.0862073091699926	1	0.677974715528499	chr1:clu_1018_+	0.805979966747748
Success	2.13353434083592	2	0.118418023710154	chr1:clu_1019_+	0.289892488543188
Success	0.354245692799395	2	0.701702542912428	chr1:clu_102_-	0.821923278430002
Success	4.0519803628431	2	0.0173879061574345	chr1:clu_1020_+	0.0915404333105447
Success	1.94743407962085	2	0.142639604289574	chr1:clu_1021_+	0.326072631086386
Success	3.14311876270767	1	0.012167908473155	chr1:clu_1022_+	0.0721885266832025
Success	1.01128181586319	4	0.731608621775057	chr1:clu_1023_+	0.840363464195919
Success	1.91607458010037	1	0.0502784250961884	chr1:clu_1024_+	0.172326334805332
Success	0.108179284690863	1	0.641828624232306	chr1:clu_1025_+	0.780617207079121
Success	1.70553742705386	2	0.181674723023154	chr1:clu_1026_+	0.377407836487316
Success	0.00633610051886535	1	0.910370779655729	chr1:clu_1027_+	0.949053201062346
Success	0.509416720041827	2	0.600845938017177	chr1:clu_1028_+	0.752651652850309
Success	0.252971752010808	2	0.776489815789865	chr1:clu_1029_+	0.870987860336917
Success	2.29223557810582	2	0.101040325635681	chr1:clu_103_-	0.262304582657549
Success	0.0228956778634597	1	0.830555519337142	chr1:clu_1030_+	0.90145421559652
Success	0.174310716691139	1	0.554894542435051	chr1:clu_1031_+	0.720263817721598
Success	0.239682341077156	1	0.488710230495399	chr1:clu_1032_+	0.669422800600203
Success	1.43736822319488	4	0.579001990815996	chr1:clu_1033_+	0.73753086367664
Success	0.0998668835306091	1	0.654935827433479	chr1:clu_1034_+	0.790095164958808
Success	3.06959808077772	2	0.046439816161806	chr1:clu_1035_+	0.163400568275433
Success	1.42454685756798	1	0.0914254614588764	chr1:clu_1036_+	0.248362850767903
Not enough valid samples	NA	NA	NA	chr1:clu_1037_+	NA
Success	2.18173851170698	1	0.0367172902091995	chr1:clu_1038_+	0.141870026289308
Success	1.97828728585409	2	0.138305913067853	chr1:clu_1039_+	0.320312764489394
Not enough valid samples	NA	NA	NA	chr1:clu_104_-	NA
Success	3.67086857782579	2	0.0254543512570983	chr1:clu_1040_+	0.114775711066712
Success	4.53541782509842	2	0.0107224261916553	chr1:clu_1041_+	0.0669630641348452
Success	1.63679232909271	2	0.194603265442158	chr1:clu_1042_+	0.39311359299723
Success	0.138823271631736	2	0.870381836028419	chr1:clu_1043_+	0.927029291984214
Success	0.206593555027666	1	0.520356270779179	chr1:clu_1044_+	0.693785144322233
Success	3.97274261451275	2	0.0188217415010442	chr1:clu_1045_+	0.0962440282812637
Success	0.369655570786676	1	0.389881633409075	chr1:clu_1046_+	0.590393881177835
Success	5.99511730079212	4	0.0174240311752281	chr1:clu_1047_+	0.0915404928989702
Success	3.45112323375588	2	0.031709998626196	chr1:clu_1048_+	0.130091967181029
Success	0.292835365080464	1	0.444098120465327	chr1:clu_1049_+	0.635674863910781
Success	6.22873850600217	2	0.00197193791610596	chr1:clu_105_-	0.0218511438456518
Success	0.889402499245193	2	0.410901193192703	chr1:clu_1050_+	0.608886979602323
Success	8.37078802701171	3	0.000798709099905777	chr1:clu_1051_+	0.0120180382842318
Success	2.59169882838614	3	0.158850018670417	chr1:clu_1052_+	0.347377614923387
Success	0.00765253267036314	1	0.901542009492546	chr1:clu_1053_+	0.944457549025466
Success	1.43356750039584	2	0.238456708609009	chr1:clu_1054_+	0.44270634097974
Success	1.1612278175138	2	0.31310151325853	chr1:clu_1055_+	0.519534603494252
Success	1.1663897310807	5	0.801440668613573	chr1:clu_1056_+	0.885540820860765
Success	2.96337677709323	2	0.0516442313437635	chr1:clu_1057_+	0.174975574290894
Success	1.25419079163325	1	0.113242175487093	chr1:clu_1058_+	0.282479358596649
Success	8.93029499377735	3	0.000469949306671375	chr1:clu_1059_+	0.00853643691761763
Success	0.310246567897735	1	0.430864092658408	chr1:clu_106_-	0.624046031259172
Success	4.08108350848227	1	0.00427732335411954	chr1:clu_1060_+	0.0372108453540478
Not enough valid samples	NA	NA	NA	chr1:clu_1061_+	NA
Not enough valid samples	NA	NA	NA	chr1:clu_1062_+	NA
Success	0.502726415968141	1	0.31599466969523	chr1:clu_1063_+	0.522965214892333
Success	0.213591200459291	1	0.513374749755594	chr1:clu_1064_+	0.688068606339542
Success	0.00670934736086792	1	0.90778006986999	chr1:clu_1065_+	0.947542416009114
Success	6.16345396315415	1	0.000446475358919099	chr1:clu_1066_+	0.00826643317879767
Success	4.95034915160613	4	0.0421340425743139	chr1:clu_1067_+	0.154000206045517
Success	1.50096406558418	1	0.083165487021342	chr1:clu_1068_+	0.234464307242827
