ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
10	"ENSG00000174106.3"	"LEMD3"	chr12	+	65245668	65245939	65245668	65245774	65245860	65245939	10	11,16	98,102	17,22	114,124	235	149	0.461505588227	0.8949052486591773	0.066,0.09	0.086,0.101	-0.015
11	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91310626	91312413	91310626	91311032	91312294	91312413	11	2,1	1,0	80,101	6,14	298	149	0.0270308435153	0.16601516432605262	0.5,1.0	0.87,0.783	-0.077
12	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91311645	91312413	91311645	91311737	91312294	91312413	12	1,1	0,0	62,94	4,1	298	149	0.059963497964	0.2821239561100986	1.0,1.0	0.886,0.979	0.068
13	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91310626	91313229	91310626	91312413	91313077	91313229	13	2,1	0,1	85,82	11,16	298	149	0.0252986481097	0.15742772610838068	1.0,0.333	0.794,0.719	-0.09
14	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91310626	91313229	91310626	91312495	91313077	91313229	14	2,1	1,3	73,73	20,21	298	149	0.0295942657182	0.17672205229347934	0.5,0.143	0.646,0.635	-0.319
16	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91314079	91314386	91314079	91314244	91314331	91314386	16	10,8	0,0	270,242	37,32	236	149	0.000129425601573	0.003702605739615477	1.0,1.0	0.822,0.827	0.175
17	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91314079	91314402	91314079	91314247	91314331	91314402	17	10,8	2,0	267,241	17,18	233	149	0.228512572553	0.6208363912805209	0.762,1.0	0.909,0.895	-0.021
18	"ENSG00000048740.19"	"CELF2"	chr10	+	11328925	11334358	11328925	11329097	11330455	11334358	18	37,19	529,524	5,8	53,82	298	149	0.225351385896	0.6168550507533689	0.034,0.018	0.045,0.047	-0.02
19	"ENSG00000013441.17"	"CLK1"	chr2	-	200856890	200857884	200856890	200856985	200857717	200857884	19	16,45	311,220	19,32	254,260	298	149	0.479120691063	0.9097999472943807	0.025,0.093	0.036,0.058	0.012
20	"ENSG00000013441.17"	"CLK1"	chr2	-	200859679	200861466	200859679	200859746	200861237	200861466	20	221,209	60,70	163,116	44,62	298	149	0.349445452483	0.7935645014649266	0.648,0.599	0.649,0.483	0.057
21	"ENSG00000181090.21"	"EHMT1"	chr9	+	137817438	137818138	137817438	137817525	137818059	137818138	21	4,7	174,201	0,5	188,206	298	149	0.744355157166	1.0	0.011,0.017	0.0,0.012	0.008
24	"ENSG00000197355.11"	"UAP1L1"	chr9	+	137081997	137084538	137081997	137082064	137082636	137084538	24	62,91	376,294	21,13	93,146	298	149	0.0229077904024	0.14830090576386334	0.076,0.134	0.101,0.043	0.033
25	"ENSG00000107331.18"	"ABCA2"	chr9	-	137010192	137010737	137010192	137010371	137010619	137010737	25	16,39	229,220	43,62	363,384	298	149	0.450060808509	0.8853049448898054	0.034,0.081	0.056,0.075	-0.008
26	"ENSG00000107331.18"	"ABCA2"	chr9	-	137010972	137011309	137010972	137011105	137011185	137011309	26	19,25	150,158	20,34	262,293	229	149	0.119154320948	0.4307294078182539	0.076,0.093	0.047,0.07	0.026
27	"ENSG00000107331.18"	"ABCA2"	chr9	-	137011406	137011749	137011406	137011554	137011633	137011749	27	14,24	287,292	37,36	535,598	228	149	0.96279625622	1.0	0.031,0.051	0.043,0.038	0.001
28	"ENSG00000107331.18"	"ABCA2"	chr9	-	137021391	137022001	137021391	137021610	137021890	137022001	28	2,3	111,95	6,12	164,170	298	149	0.0493236119023	0.24635674236234878	0.009,0.016	0.018,0.034	-0.014
29	"ENSG00000107331.18"	"ABCA2"	chr9	-	137022701	137023052	137022701	137022865	137022940	137023052	29	2,7	140,180	13,11	267,316	224	149	0.21758499783	0.6053018834971692	0.009,0.025	0.031,0.023	-0.01
30	"ENSG00000107331.18"	"ABCA2"	chr9	-	137022940	137023840	137022940	137023052	137023837	137023840	30	17,37	96,125	35,43	197,207	298	149	0.337022981513	0.7770795862338875	0.081,0.129	0.082,0.094	0.017
31	"ENSG00000148362.11"	"PAXX"	chr9	+	136992639	136992974	136992639	136992700	136992924	136992974	31	197,221	145,162	183,124	108,131	298	149	0.729978490069	1.0	0.405,0.406	0.459,0.321	0.016
32	"ENSG00000148362.11"	"PAXX"	chr9	+	136992639	136993243	136992639	136992700	136993052	136993243	32	183,197	5,7	168,134	0,0	298	149	0.000531318632935	0.01106354238803861	0.948,0.934	1.0,1.0	-0.059
33	"ENSG00000148362.11"	"PAXX"	chr9	+	136992639	136993243	136992639	136992974	136993052	136993243	33	163,145	124,158	113,98	98,109	227	149	0.675218278023	1.0	0.463,0.376	0.431,0.371	0.018
35	"ENSG00000159069.14"	"FBXW5"	chr9	-	136942045	136942695	136942045	136942466	136942546	136942695	35	111,108	823,801	61,60	689,790	229	149	0.00113606711687	0.018872727302717048	0.081,0.081	0.054,0.047	0.03
36	"ENSG00000159069.14"	"FBXW5"	chr9	-	136942546	136942943	136942546	136942695	136942768	136942943	36	110,122	791,801	68,73	632,769	222	149	0.0136471595994	0.1054662774109912	0.085,0.093	0.067,0.06	0.025
37	"ENSG00000196642.19"	"RABL6"	chr9	+	136831720	136832370	136831720	136831861	136832261	136832370	37	38,50	37,34	27,14	15,13	298	149	0.669140775564	1.0	0.339,0.424	0.474,0.35	-0.03
38	"ENSG00000196642.19"	"RABL6"	chr9	+	136831720	136832370	136831720	136831861	136832264	136832370	38	49,51	1761,1822	32,23	796,900	298	149	0.524366455773	0.9461176577607574	0.014,0.014	0.02,0.013	-0.003
40	"ENSG00000148396.19"	"SEC16A"	chr9	-	136474048	136477684	136474048	136474486	136475197	136477684	40	380,369	254,254	321,400	304,321	298	149	0.0511315769575	0.25199293893715025	0.428,0.421	0.346,0.384	0.059
41	"ENSG00000165684.6"	"SNAPC4"	chr9	-	136391941	136392594	136391941	136392106	136392521	136392594	41	12,10	142,133	21,13	127,123	298	149	0.0718906027999	0.3157449705074462	0.041,0.036	0.076,0.05	-0.025
42	"ENSG00000115380.20"	"EFEMP1"	chr2	-	55922359	55922691	55922359	55922447	55922570	55922691	42	1,0	0,0	12,18	1,1	272	149	1	1.0	1.0,NA	0.868,0.908	0.112
44	"ENSG00000165533.19"	"TTC8"	chr14	+	88841036	88841514	88841036	88841196	88841424	88841514	44	32,35	127,113	12,10	63,67	298	149	0.0501982419521	0.24989778270807803	0.112,0.134	0.087,0.069	0.045
45	"ENSG00000165699.15"	"TSC1"	chr9	-	132897183	132897610	132897183	132897345	132897422	132897610	45	5,6	127,109	1,5	105,114	226	149	0.228342581031	0.6207069338347395	0.025,0.035	0.006,0.028	0.013
46	"ENSG00000165699.15"	"TSC1"	chr9	-	132897183	132897610	132897183	132897345	132897427	132897610	46	13,15	0,1	4,8	0,0	231	149	1	1.0	1.0,0.906	1.0,1.0	-0.047
47	"ENSG00000165699.15"	"TSC1"	chr9	-	132925586	132927304	132925586	132925739	132927200	132927304	47	7,2	245,225	6,4	215,215	298	149	0.810447914415	1.0	0.014,0.004	0.014,0.009	-0.002
