ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
7	"ENSG00000291033.1"	"TXLNGY"	chrY	+	19567349	19567570	19567349	19567482	19587209	19587507	7	3,0	0,0	1,1	0,1	237	149	1	1.0	1.0,NA	1.0,0.386	0.307
11	"ENSG00000156463.18"	"SH3RF2"	chr5	+	146055980	146056231	146055980	146056213	146059865	146060224	11	0,0	0,1	0,1	9,6	167	149	1	1.0	NA,0.0	0.0,0.129	-0.065
12	"ENSG00000107537.14"	"PHYH"	chr10	-	13291824	13291912	13291830	13291912	13288359	13288541	12	6,18	215,190	3,1	60,47	155	149	0.129733639251	0.44124287189583095	0.026,0.083	0.046,0.02	0.021
13	"ENSG00000133019.12"	"CHRM3"	chr1	+	239545640	239545753	239545640	239545749	239554750	239556966	13	1,5	23,7	0,2	39,27	153	149	0.00932710594169	0.06663529130145086	0.041,0.41	0.0,0.067	0.192
14	"ENSG00000133019.12"	"CHRM3"	chr1	+	239545640	239545753	239545640	239545749	239632223	239632286	14	1,2	7,11	2,2	34,44	153	149	0.557893608047	1.0	0.122,0.15	0.054,0.042	0.088
15	"ENSG00000133019.12"	"CHRM3"	chr1	+	239545640	239545753	239545640	239545749	239678185	239678288	15	0,2	1,0	0,2	9,28	153	149	0.325131399821	0.8276417292172419	0.0,1.0	0.0,0.065	0.468
16	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91311645	91312413	91312294	91312413	91310640	91311032	16	1,1	0,1	17,46	4,1	298	149	0.0791338964803	0.30773246953701433	1.0,0.333	0.68,0.958	-0.152
17	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91313961	91314404	91314079	91314404	91313637	91313777	17	0,0	2,3	1,30	15,56	267	149	0.000410521161988	0.0065135360095037766	0.0,0.0	0.036,0.23	-0.133
18	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91314079	91314247	91314164	91314247	91313637	91313777	18	5,4	0,0	28,118	4,2	234	149	0.0238008568129	0.12965516748827274	1.0,1.0	0.817,0.974	0.105
19	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91314079	91314386	91314331	91314386	91313637	91313777	19	5,6	0,0	39,141	0,1	298	149	1	1.0	1.0,1.0	1.0,0.986	0.007
20	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91314164	91314402	91314331	91314402	91313637	91313777	20	3,3	0,0	28,87	0,1	298	149	1	1.0	1.0,1.0	1.0,0.978	0.011
23	"ENSG00000048740.19"	"CELF2"	chr10	+	11314138	11314270	11314138	11314258	11321206	11321386	23	25,13	28,16	7,5	3,4	161	149	0.174210547118	0.543327455396167	0.452,0.429	0.683,0.536	-0.169
24	"ENSG00000135048.14"	"CEMIP2"	chr9	-	71730704	71730914	71730738	71730914	71730047	71730253	24	1071,804	3,2	2279,4394	1,4	183	149	1	1.0	0.997,0.997	0.999,0.999	-0.002
