ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
4	"ENSG00000156463.18"	"SH3RF2"	chr5	+	146055980	146056231	146055980	146056213	146059865	146060224	4	0,0,1	15,1,15	3,0,1	10,2,10	167	149	0.243719376949	0.7471844902664423	0.0,0.0,0.056	0.211,0.0,0.082	-0.079
5	"ENSG00000107537.14"	"PHYH"	chr10	-	13291824	13291912	13291830	13291912	13288359	13288541	5	19,26,28	191,267,361	26,13,21	340,285,214	155	149	0.254185593627	0.7687862211861307	0.087,0.086,0.069	0.068,0.042,0.086	0.015
6	"ENSG00000133019.12"	"CHRM3"	chr1	+	239545640	239545753	239545640	239545749	239632223	239632286	6	0,0,1	18,16,11	5,0,2	33,36,17	153	149	0.0173081715941	0.11838912531504273	0.0,0.0,0.081	0.129,0.0,0.103	-0.05
7	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91314164	91314402	91314331	91314402	91303872	91303971	7	2,0,0	0,0,0	37,42,49	1,0,0	298	149	1	1.0	1.0,NA,NA	0.949,1.0,1.0	0.017
8	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91311645	91312413	91312294	91312413	91310640	91311032	8	4,3,10	0,5,3	30,18,14	35,9,6	298	149	0.387009564797	0.9898634449889354	1.0,0.231,0.625	0.3,0.5,0.538	0.173
9	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91313961	91314404	91314079	91314404	91313637	91313777	9	0,3,0	1,0,8	17,21,31	48,69,35	267	149	0.0910709272311	0.3849029741232858	0.0,1.0,0.0	0.165,0.145,0.331	0.12
10	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91314079	91314247	91314164	91314247	91313637	91313777	10	2,0,11	0,1,0	86,116,67	16,10,7	234	149	0.0112760809532	0.08676241261545331	1.0,0.0,1.0	0.774,0.881,0.859	-0.171
11	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91314079	91314386	91314331	91314386	91313637	91313777	11	3,0,8	0,0,0	84,111,84	0,1,0	298	149	1	1.0	1.0,NA,1.0	1.0,0.982,1.0	0.006
12	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91314164	91314402	91314331	91314402	91313637	91313777	12	2,1,0	0,0,0	52,52,56	0,1,0	298	149	1	1.0	1.0,1.0,NA	1.0,0.963,1.0	0.012
13	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91314079	91314402	91314164	91314402	91313637	91313781	13	1,0,3	0,1,0	38,53,36	1,1,0	234	149	1	1.0	1.0,0.0,1.0	0.96,0.971,1.0	-0.31
