ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
45	"ENSG00000130826.11"	"DKC1"	chrX	+	153995271	153995336	153994490	153994675	153995530	153995657	45	27,46	2,0	7,6	0,0	164	99	0.793488936284	1.0	0.891,1.0	1.0,1.0	-0.054
51	"ENSG00000203879.7"	"GDI1"	chrX	+	153668056	153668144	153667351	153667486	153668287	153668536	51	0,2	21,20	0,1	24,9	187	99	0.821688309644	1.0	0.0,0.05	0.0,0.056	-0.003
53	"ENSG00000102125.11"	"TAZ"	chrX	+	153642437	153642527	153641818	153641904	153647881	153647962	53	7,5	6,5	5,0	3,0	189	99	1	1.0	0.379,0.344	0.466,NA	-0.105
56	"ENSG00000102125.11"	"TAZ"	chrX	+	153648043	153648085	153647881	153647962	153648370	153648412	56	8,6	3,2	2,1	0,0	141	99	0.000438363057724	0.01652734241703396	0.652,0.678	1.0,1.0	-0.335
60	"ENSG00000196924.10"	"FLNA"	chrX	-	153582983	153583079	153582748	153582851	153583192	153583257	60	45,58	0,2	58,43	1,0	195	99	0.778799415814	1.0	1.0,0.936	0.967,1.0	-0.016
61	"ENSG00000196924.10"	"FLNA"	chrX	-	153585618	153585642	153583192	153583440	153585801	153585991	61	22,38	7,22	22,23	6,4	123	99	0.0626072539558	0.4871428384453095	0.717,0.582	0.747,0.822	-0.135
67	"ENSG00000169057.15"	"MECP2"	chrX	-	153357641	153357765	153297657	153298008	153363060	153363120	67	6,11	0,1	4,4	2,0	198	99	0.446899384389	1.0	1.0,0.846	0.5,1.0	0.173
92	"ENSG00000183479.8"	"TREX2"	chrX	-	152720334	152720511	152719851	152719966	152720999	152721224	92	10,9	4,0	5,9	0,1	198	99	0.0224796366429	0.24406600675508316	0.556,1.0	1.0,0.818	-0.131
93	"ENSG00000147383.6"	"NSDHL"	chrX	+	152000177	152000244	151999510	151999661	152014825	152014976	93	6,0	12,14	0,0	9,1	166	99	0.00379307229604	0.07399377369988461	0.23,0.0	0.0,0.0	0.115
97	"ENSG00000124260.7"	"MAGEA10"	chrX	-	151304461	151304552	151304232	151304306	151305342	151305441	97	1,1	0,1	4,0	12,10	190	99	0.0193098591689	0.22254774145829231	1.0,0.343	0.148,0.0	0.598
99	"ENSG00000102287.12"	"GABRE"	chrX	-	151123839	151124039	151121595	151123556	151124179	151124332	99	2,3	2,0	3,3	1,1	198	99	0.436511357036	1.0	0.333,1.0	0.6,0.6	0.067
100	"ENSG00000102287.12"	"GABRE"	chrX	-	151129754	151129837	151128310	151128448	151130894	151131115	100	0,1	1,1	0,0	1,0	182	99	1	1.0	0.0,0.352	0.0,NA	0.176
109	"ENSG00000155984.10"	"TMEM185A"	chrX	-	148692969	148693146	148690313	148690521	148713225	148713381	109	5,19	0,1	14,13	1,0	198	99	1	1.0	1.0,0.905	0.875,1.0	0.015
110	"ENSG00000241769.3"	"LINC00893"	chrX	-	148617478	148617514	148615735	148615906	148617705	148617745	110	2,0	1,0	0,1	0,0	135	99	1	1.0	0.595,NA	NA,1.0	-0.405
111	"ENSG00000241769.3"	"LINC00893"	chrX	-	148617705	148617787	148615631	148615906	148619646	148619704	111	3,0	0,1	1,0	1,0	181	99	1	1.0	1.0,0.0	0.354,NA	0.146
112	"ENSG00000241769.3"	"LINC00893"	chrX	-	148619164	148619274	148617467	148617745	148619646	148619704	112	2,0	0,0	1,0	0,2	198	99	1	1.0	1.0,NA	1.0,0.0	0.5
113	"ENSG00000241769.3"	"LINC00893"	chrX	-	148619164	148619310	148617704	148617787	148619646	148619704	113	0,1	2,0	2,4	1,0	198	99	0.00174697326121	0.04293915733330713	0.0,1.0	0.5,1.0	-0.25
114	"ENSG00000241769.3"	"LINC00893"	chrX	-	148620256	148620439	148619646	148619704	148621917	148621999	114	0,1	1,0	1,2	0,0	198	99	0.101456445134	0.6692551874650918	0.0,1.0	1.0,1.0	-0.5
115	"ENSG00000241769.3"	"LINC00893"	chrX	-	148620256	148620439	148619646	148619704	148622239	148622358	115	0,1	0,1	5,2	4,1	198	99	1	1.0	NA,0.333	0.385,0.5	-0.109
135	"ENSG00000156504.12"	"FAM122B"	chrX	-	133906172	133906313	133905125	133905384	133915850	133915947	135	4,0	0,1	2,0	2,0	198	99	1	1.0	1.0,0.0	0.333,NA	0.167
142	"ENSG00000134602.11"	"MST4"	chrX	+	131157535	131157687	131157292	131157435	131197460	131197517	142	28,26	1,0	23,8	0,0	198	99	1	1.0	0.933,1.0	1.0,1.0	-0.033
143	"ENSG00000134602.11"	"MST4"	chrX	+	131188658	131188889	131157535	131157687	131197460	131197517	143	30,20	4,0	11,8	6,0	198	99	0.273398216072	1.0	0.789,1.0	0.478,1.0	0.156
145	"ENSG00000134602.11"	"MST4"	chrX	+	131203505	131203691	131202439	131202597	131205096	131205245	145	43,40	0,1	23,15	1,0	198	99	1	1.0	1.0,0.952	0.92,1.0	0.016
146	"ENSG00000134602.11"	"MST4"	chrX	+	131206295	131206389	131205096	131205245	131206840	131206903	146	28,28	1,0	14,19	0,1	193	99	1	1.0	0.935,1.0	1.0,0.907	0.014
155	"ENSG00000165675.12"	"ENOX2"	chrX	-	129813515	129813722	129803938	129804172	129822836	129822992	155	4,2	0,0	1,0	1,0	198	99	1	1.0	1.0,1.0	0.333,NA	0.667
157	"ENSG00000165675.12"	"ENOX2"	chrX	-	129917520	129917664	129837093	129837228	130035657	130035705	157	6,2	0,0	0,0	1,0	198	99	1	1.0	1.0,1.0	0.0,NA	1.0
158	"ENSG00000102078.11"	"SLC25A14"	chrX	+	129474080	129474327	129473886	129473950	129479155	129479249	158	0,1	3,0	1,0	2,0	198	99	1	1.0	0.0,1.0	0.2,NA	0.3
160	"ENSG00000102078.11"	"SLC25A14"	chrX	+	129483797	129483841	129483224	129483319	129484619	129484705	160	2,1	0,0	0,0	2,0	143	99	1	1.0	1.0,1.0	0.0,NA	1.0
161	"ENSG00000102078.11"	"SLC25A14"	chrX	+	129484619	129484705	129483221	129483319	129492613	129492709	161	1,0	1,0	6,2	1,0	185	99	1	1.0	0.349,NA	0.763,1.0	-0.532
162	"ENSG00000102078.11"	"SLC25A14"	chrX	+	129493020	129493113	129492613	129492709	129498601	129498726	162	0,0	1,1	1,2	1,0	192	99	0.000484425566384	0.017748213751649894	0.0,0.0	0.34,1.0	-0.67
163	"ENSG00000085185.11"	"BCORL1"	chrX	+	129144483	129144639	129139163	129139293	129146553	129146644	163	0,1	0,1	0,4	1,0	198	99	1	1.0	NA,0.333	0.0,1.0	-0.167
164	"ENSG00000085185.11"	"BCORL1"	chrX	+	129158964	129159354	129156871	129156952	129162609	129162836	164	2,0	0,1	3,0	0,0	198	99	1	1.0	1.0,0.0	1.0,NA	-0.5
166	"ENSG00000102038.11"	"SMARCA1"	chrX	-	128625917	128626070	128624036	128624169	128630726	128630848	166	43,29	0,0	6,6	2,0	198	99	0.56196656644	1.0	1.0,1.0	0.6,1.0	0.2
167	"ENSG00000102038.11"	"SMARCA1"	chrX	-	128627016	128627052	128625917	128626070	128630726	128630848	167	7,11	7,4	4,6	0,1	135	99	0.000552429603537	0.01942522871212757	0.423,0.669	1.0,0.815	-0.361
168	"ENSG00000102038.11"	"SMARCA1"	chrX	-	128650307	128650474	128649870	128649971	128652337	128652424	168	35,40	1,0	15,20	0,0	198	99	1	1.0	0.946,1.0	1.0,1.0	-0.027
