ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
5	"ENSG00000107537.14"	"PHYH"	chr10	-	13291824	13291912	13291830	13291912	13288359	13288541	5	48,49,49	620,591,627	43,12,17	531,605,443	155	149	0.000600101930071	0.015183803528612773	0.069,0.074,0.07	0.072,0.019,0.036	0.029
6	"ENSG00000133019.12"	"CHRM3"	chr1	+	239545640	239545753	239545640	239545749	239632223	239632286	6	0,1,0	4,0,1	0,0,0	3,2,0	153	149	1	1.0	0.0,1.0,0.0	0.0,0.0,NA	0.333
7	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91311645	91312413	91312294	91312413	91310640	91311032	7	2,0,0	0,0,0	1,18,12	5,4,1	298	149	1	1.0	1.0,NA,NA	0.091,0.692,0.857	0.453
8	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91313961	91314404	91314079	91314404	91313637	91313777	8	0,1,0	3,2,2	1,6,3	13,26,13	267	149	0.00539050831327	0.0717814083873202	0.0,0.218,0.0	0.041,0.114,0.114	-0.017
9	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91314079	91314247	91314164	91314247	91313637	91313777	9	5,3,3	0,1,0	21,39,25	1,0,0	234	149	1	1.0	1.0,0.656,1.0	0.93,1.0,1.0	-0.091
10	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91314079	91314402	91314164	91314402	91313637	91313781	10	2,1,1	0,0,2	12,13,12	0,0,0	234	149	0.485015296256	1.0	1.0,1.0,0.241	1.0,1.0,1.0	-0.253
11	"ENSG00000048740.19"	"CELF2"	chr10	+	11314138	11314270	11314138	11314258	11321188	11321386	11	31,16,22	27,28,29	12,11,4	35,36,19	161	149	0.000543290134367	0.014270574334495903	0.515,0.346,0.412	0.241,0.22,0.163	0.216
12	"ENSG00000048740.19"	"CELF2"	chr10	+	11314138	11314270	11314138	11314258	11321206	11321386	12	143,93,113	151,158,124	78,78,93	129,152,113	161	149	0.15605516955	0.6919785379402361	0.467,0.353,0.458	0.359,0.322,0.432	0.055
13	"ENSG00000013441.17"	"CLK1"	chr2	-	200856890	200857884	200857717	200857884	200854615	200854695	13	0,1,8	0,0,0	6,14,6	1,0,0	298	149	1	1.0	NA,1.0,1.0	0.75,1.0,1.0	0.083
16	"ENSG00000165632.9"	"TAF3"	chr10	+	7824317	7824564	7824317	7824560	7963919	7965742	16	0,0,0	18,36,23	0,3,0	29,32,32	153	149	0.885344392447	1.0	0.0,0.0,0.0	0.0,0.084,0.0	-0.028
17	"ENSG00000067057.19"	"PFKP"	chr10	+	3109354	3109609	3109354	3109480	3112221	3112286	17	3,3,6	2561,2526,2164	14,24,16	3090,3316,2965	278	149	1	1.0	0.001,0.001,0.001	0.002,0.004,0.003	-0.002
19	"ENSG00000181090.21"	"EHMT1"	chr9	+	137728348	137728593	137728348	137728529	137743370	137743528	19	0,3,2	115,83,65	0,4,0	60,59,58	213	149	1	1.0	0.0,0.025,0.021	0.0,0.045,0.0	0.0
22	"ENSG00000176884.17"	"GRIN1"	chr9	+	137164171	137164987	137164171	137164215	137165185	137165296	22	13,22,24	1,0,0	37,30,44	2,3,3	298	149	0.00176794028597	0.031312748093508654	0.867,1.0,1.0	0.902,0.833,0.88	0.084
23	"ENSG00000107331.18"	"ABCA2"	chr9	-	137010192	137010737	137010619	137010737	137009982	137010124	23	29,29,28	0,0,0	57,83,62	1,0,0	298	149	1	1.0	1.0,1.0,1.0	0.966,1.0,1.0	0.011
24	"ENSG00000148362.11"	"PAXX"	chr9	+	136992639	136992974	136992639	136992700	136993052	136993243	24	138,152,125	0,0,1	68,80,93	1,1,0	298	149	1	1.0	1.0,1.0,0.984	0.971,0.976,1.0	0.012
25	"ENSG00000107317.13"	"PTGDS"	chr9	+	136979222	136979401	136979222	136979299	136979945	136980062	25	0,0,0	8,0,2	5,4,5	28,20,35	251	149	1	1.0	0.0,NA,0.0	0.096,0.106,0.078	-0.093
26	"ENSG00000159069.14"	"FBXW5"	chr9	-	136941754	136942466	136942045	136942466	136941536	136941684	26	53,52,45	140,190,116	34,24,57	192,228,172	298	149	0.000733390070232	0.01702728481411299	0.159,0.12,0.162	0.081,0.05,0.142	0.056
27	"ENSG00000159069.14"	"FBXW5"	chr9	-	136941754	136942466	136942099	136942466	136941536	136941684	27	130,98,151	16,15,8	118,164,121	23,16,13	298	149	0.378380212114	1.0	0.802,0.766,0.904	0.72,0.837,0.823	0.031
28	"ENSG00000159069.14"	"FBXW5"	chr9	-	136942045	136942466	136942099	136942466	136941536	136941684	28	234,255,227	16,15,8	281,371,256	23,16,13	203	149	0.774239535213	1.0	0.915,0.926,0.954	0.9,0.945,0.935	0.005
29	"ENSG00000159069.14"	"FBXW5"	chr9	-	136942045	136942695	136942546	136942695	136941536	136941684	29	168,227,150	0,1,0	234,256,212	0,0,0	298	149	1	1.0	1.0,0.991,1.0	1.0,1.0,1.0	-0.003
30	"ENSG00000159069.14"	"FBXW5"	chr9	-	136942546	136942943	136942768	136942943	136941536	136941684	30	32,28,27	0,0,0	27,25,23	0,2,0	298	149	1	1.0	1.0,1.0,1.0	1.0,0.862,1.0	0.046
31	"ENSG00000196642.19"	"RABL6"	chr9	+	136837861	136838015	136837861	136837980	136838908	136839121	31	463,495,311	0,6,1	228,156,298	0,2,0	184	149	1	1.0	1.0,0.985,0.996	1.0,0.984,1.0	-0.001
33	"ENSG00000148396.19"	"SEC16A"	chr9	-	136448008	136448161	136448083	136448161	136447852	136447909	33	0,2,1	170,165,164	0,0,0	208,360,175	224	149	1	1.0	0.0,0.008,0.004	0.0,0.0,0.0	0.004
34	"ENSG00000165689.17"	"ENTR1"	chr9	-	136405090	136405202	136405117	136405202	136404630	136404693	34	245,275,241	22,11,8	143,155,158	11,10,10	176	149	0.449695564382	1.0	0.904,0.955,0.962	0.917,0.929,0.93	0.015
35	"ENSG00000165684.6"	"SNAPC4"	chr9	-	136387484	136387579	136387512	136387579	136384719	136384814	35	29,30,28	8,15,4	41,38,39	7,10,25	177	149	0.744151354718	1.0	0.753,0.627,0.855	0.831,0.762,0.568	0.025
38	"ENSG00000134644.16"	"PUM1"	chr1	-	30941921	30942123	30941997	30942123	30941150	30941272	38	1,4,3	168,155,146	10,7,10	220,355,237	225	149	0.0394293051638	0.28179718832500655	0.004,0.017,0.013	0.029,0.013,0.027	-0.012
39	"ENSG00000134644.16"	"PUM1"	chr1	-	30950126	30950261	30950132	30950261	30941997	30942123	39	6,3,1	4,0,0	0,0,12	0,1,0	155	149	1	1.0	0.59,1.0,1.0	NA,0.0,1.0	0.363
40	"ENSG00000134644.16"	"PUM1"	chr1	-	30950126	30950261	30950132	30950261	30945345	30945483	40	122,89,81	89,67,73	102,223,136	114,125,76	155	149	0.560981983582	1.0	0.569,0.561,0.516	0.462,0.632,0.632	-0.027
41	"ENSG00000134644.16"	"PUM1"	chr1	-	30967098	30967310	30967166	30967310	30965981	30966197	41	11,1,1	48,48,50	12,7,6	66,93,36	217	149	0.213061058311	0.8296265706469153	0.136,0.014,0.014	0.111,0.049,0.103	-0.033
42	"ENSG00000134644.16"	"PUM1"	chr1	-	30968296	30968492	30968353	30968492	30967166	30967310	42	9,1,4	185,142,151	6,8,5	224,477,163	206	149	0.62317841087	1.0	0.034,0.005,0.019	0.019,0.012,0.022	0.002
43	"ENSG00000134644.16"	"PUM1"	chr1	-	31059203	31059577	31059298	31059577	31028795	31028864	43	267,239,222	1,0,4	252,279,223	2,9,5	244	149	0.00999386575454	0.10880198679672523	0.994,1.0,0.971	0.987,0.95,0.965	0.021
44	"ENSG00000134644.16"	"PUM1"	chr1	-	31059203	31059577	31059298	31059577	31055312	31055380	44	108,102,75	0,0,0	94,85,92	2,0,0	244	149	1	1.0	1.0,1.0,1.0	0.966,1.0,1.0	0.011
46	"ENSG00000165533.19"	"TTC8"	chr14	+	88841036	88841514	88841036	88841196	88843805	88843850	46	41,41,38	15,16,8	35,17,24	36,28,21	298	149	6.34622105744e-06	0.0006370660992946667	0.577,0.562,0.704	0.327,0.233,0.364	0.306
50	"ENSG00000148297.16"	"MED22"	chr9	-	133347921	133348117	133347941	133348117	133346539	133346700	50	80,95,85	6,8,3	70,48,71	15,6,10	169	149	0.0030186169309	0.04599104354972924	0.922,0.913,0.962	0.804,0.876,0.862	0.085
51	"ENSG00000165699.15"	"TSC1"	chr9	-	132897422	132897610	132897427	132897610	132897183	132897345	51	26,27,36	0,0,0	50,87,40	0,0,1	154	149	1	1.0	1.0,1.0,1.0	1.0,1.0,0.975	0.008
52	"ENSG00000165699.15"	"TSC1"	chr9	-	132901588	132901699	132901630	132901699	132900714	132900837	52	50,34,29	4,2,0	44,86,67	0,0,3	191	149	0.0685351175538	0.40423329563844546	0.907,0.93,1.0	1.0,1.0,0.946	-0.036
54	"ENSG00000165699.15"	"TSC1"	chr9	-	132911409	132911568	132911452	132911568	132911001	132911113	54	4,3,3	46,37,41	7,4,7	56,127,47	192	149	0.851084539515	1.0	0.063,0.059,0.054	0.088,0.024,0.104	-0.013
55	"ENSG00000165699.15"	"TSC1"	chr9	-	132925586	132927304	132927200	132927304	132923347	132923492	55	42,28,29	0,0,0	57,80,39	2,1,1	298	149	0.672501456459	1.0	1.0,1.0,1.0	0.934,0.976,0.951	0.046
56	"ENSG00000165699.15"	"TSC1"	chr9	-	132944542	132944619	132944571	132944619	132935032	132935095	56	12,14,11	10,7,8	24,24,28	30,21,22	178	149	0.269998143456	0.9429399950894332	0.501,0.626,0.535	0.401,0.489,0.516	0.085
57	"ENSG00000184634.17"	"MED12"	chrX	+	71126968	71127241	71126968	71127132	71127335	71128120	57	4,0,2	62,40,45	4,0,2	43,45,43	258	149	0.889582370312	1.0	0.036,0.0,0.025	0.051,0.0,0.026	-0.005
59	"ENSG00000184634.17"	"MED12"	chrX	+	71128597	71128853	71128597	71128718	71129113	71129215	59	4,1,8	60,42,57	0,5,1	88,67,63	284	149	0.0162428609977	0.15395947297361207	0.034,0.012,0.069	0.0,0.038,0.008	0.023
60	"ENSG00000184634.17"	"MED12"	chrX	+	71135091	71135374	71135091	71135253	71136280	71136655	60	2,1,5	57,47,42	5,1,3	60,113,45	270	149	0.745757699941	1.0	0.019,0.012,0.062	0.044,0.005,0.035	0.003
61	"ENSG00000184634.17"	"MED12"	chrX	+	71137186	71137392	71137186	71137383	71137557	71137635	61	50,36,42	11,15,18	17,41,39	24,37,18	158	149	0.0053924585867	0.0717814083873202	0.811,0.694,0.688	0.4,0.511,0.671	0.204
62	"ENSG00000184634.17"	"MED12"	chrX	+	71137186	71137392	71137186	71137383	71137560	71137635	62	9,4,6	1,2,0	1,2,3	1,0,0	158	149	1	1.0	0.895,0.654,1.0	0.485,1.0,1.0	0.021
63	"ENSG00000184634.17"	"MED12"	chrX	+	71141229	71141414	71141229	71141370	71141882	71141964	63	1,0,0	60,54,41	2,2,0	49,44,55	193	149	0.637337751415	1.0	0.013,0.0,0.0	0.031,0.034,0.0	-0.017
64	"ENSG00000110172.12"	"CHORDC1"	chr11	-	90210535	90214175	90214017	90214175	90206201	90206272	64	504,502,433	0,0,0	508,742,499	1,0,0	298	149	1	1.0	1.0,1.0,1.0	0.996,1.0,1.0	0.001
65	"ENSG00000197694.19"	"SPTAN1"	chr9	+	128598962	128600115	128598962	128598986	128603542	128603590	65	269,226,217	0,0,1	255,379,262	0,0,0	298	149	1	1.0	1.0,1.0,0.991	1.0,1.0,1.0	-0.003
66	"ENSG00000197694.19"	"SPTAN1"	chr9	+	128624327	128624824	128624327	128624487	128625102	128625179	66	14,8,9	217,242,184	9,23,9	283,454,229	298	149	0.709581850809	1.0	0.031,0.016,0.024	0.016,0.025,0.019	0.004
68	"ENSG00000106976.22"	"DNM1"	chr9	+	128250114	128250356	128250114	128250330	128250724	128251244	68	83,111,85	17,16,11	152,138,167	17,8,37	175	149	0.482302731767	1.0	0.806,0.855,0.868	0.884,0.936,0.794	-0.028
69	"ENSG00000148337.22"	"CIZ1"	chr9	-	128169051	128169201	128169075	128169201	128167094	128167164	69	316,344,252	10,11,7	224,201,180	20,18,6	173	149	0.000780201440952	0.017587159027132537	0.965,0.964,0.969	0.906,0.906,0.963	0.041
70	"ENSG00000148337.22"	"CIZ1"	chr9	-	128179072	128179415	128179372	128179415	128170019	128170035	70	340,313,258	10,10,3	202,240,166	4,6,4	298	149	0.69503231204	1.0	0.944,0.94,0.977	0.962,0.952,0.954	-0.002
71	"ENSG00000148337.22"	"CIZ1"	chr9	-	128178708	128179415	128179072	128179415	128177565	128177763	71	273,208,214	0,4,0	97,165,120	1,0,2	298	149	1	1.0	1.0,0.963,1.0	0.98,1.0,0.968	0.005
72	"ENSG00000148337.22"	"CIZ1"	chr9	-	128178708	128179415	128179072	128179415	128178368	128178490	72	539,466,473	2,0,2	292,424,293	0,0,0	298	149	1	1.0	0.993,1.0,0.992	1.0,1.0,1.0	-0.005
73	"ENSG00000148337.22"	"CIZ1"	chr9	-	128178988	128179415	128179072	128179415	128178708	128178904	73	163,119,138	110,65,73	58,101,80	82,43,82	233	149	0.147955742467	0.6675237609555553	0.487,0.539,0.547	0.311,0.6,0.384	0.093
74	"ENSG00000148337.22"	"CIZ1"	chr9	-	128178988	128179415	128179243	128179415	128178708	128178904	74	386,372,320	0,0,1	255,275,220	0,0,0	298	149	1	1.0	1.0,1.0,0.994	1.0,1.0,1.0	-0.002
75	"ENSG00000148337.22"	"CIZ1"	chr9	-	128179072	128179415	128179243	128179415	128178708	128178904	75	481,432,387	0,0,1	335,311,297	0,0,0	298	149	1	1.0	1.0,1.0,0.995	1.0,1.0,1.0	-0.002
76	"ENSG00000148334.16"	"PTGES2"	chr9	-	128123701	128123851	128123725	128123851	128122933	128123134	76	218,317,220	4,6,1	196,156,180	8,4,2	173	149	0.16178809435	0.702820180010967	0.979,0.978,0.995	0.955,0.971,0.987	0.013
77	"ENSG00000167094.16"	"TTC16"	chr9	+	127724119	127724897	127724119	127724364	127726238	127726404	77	0,1,0	0,0,1	0,2,0	0,0,0	298	149	1	1.0	NA,1.0,0.0	NA,1.0,NA	-0.5
78	"ENSG00000148356.15"	"LRSAM1"	chr9	+	127454997	127455054	127454997	127455040	127455575	127455620	78	76,71,44	0,0,0	80,107,44	1,0,0	163	149	1	1.0	1.0,1.0,1.0	0.987,1.0,1.0	0.004
79	"ENSG00000148356.15"	"LRSAM1"	chr9	+	127485735	127485840	127485735	127485835	127487494	127487763	79	1,1,1	0,3,1	0,5,0	1,8,4	154	149	0.590348786591	1.0	1.0,0.244,0.492	0.0,0.377,0.0	0.453
81	"ENSG00000148356.15"	"LRSAM1"	chr9	+	127485735	127485840	127485735	127485835	127487675	127487763	81	5,1,3	50,57,52	8,0,9	64,49,61	154	149	0.134354227274	0.6297414028020099	0.088,0.017,0.053	0.108,0.0,0.125	-0.025
83	"ENSG00000148356.15"	"LRSAM1"	chr9	+	127497252	127497362	127497252	127497334	127501009	127501143	83	1,0,0	53,61,61	0,0,0	63,60,54	177	149	1	1.0	0.016,0.0,0.0	0.0,0.0,0.0	0.005
84	"ENSG00000136895.19"	"GARNL3"	chr9	+	127243078	127243253	127243078	127243249	127264951	127265021	84	0,1,0	3,4,5	1,1,1	9,40,9	153	149	0.258115902826	0.9261796343554665	0.0,0.196,0.0	0.098,0.024,0.098	-0.008
86	"ENSG00000125386.16"	"FAM193A"	chr4	+	2694945	2695129	2694945	2695082	2696362	2696593	86	68,60,62	0,0,0	48,89,47	1,0,0	196	149	1	1.0	1.0,1.0,1.0	0.973,1.0,1.0	0.009
87	"ENSG00000125386.16"	"FAM193A"	chr4	+	2694945	2695142	2694945	2695082	2696362	2696593	87	24,22,20	0,0,0	20,35,11	1,0,0	209	149	1	1.0	1.0,1.0,1.0	0.934,1.0,1.0	0.022
88	"ENSG00000125386.16"	"FAM193A"	chr4	+	2694945	2695142	2694945	2695129	2696362	2696593	88	1,1,1	45,39,43	1,1,4	29,55,40	162	149	0.165573975591	0.7132682937377408	0.02,0.023,0.021	0.031,0.016,0.084	-0.022
89	"ENSG00000167283.9"	"ATP5MG"	chr11	+	118406936	118407097	118406936	118406976	118408999	118409199	89	2243,2376,2336	0,2,0	2039,2169,2013	0,0,0	270	149	1	1.0	1.0,0.998,1.0	1.0,1.0,1.0	-0.001
90	"ENSG00000044574.9"	"HSPA5"	chr9	-	125240171	125240907	125240675	125240907	125239420	125239533	90	2390,2208,2159	1,0,0	3170,4840,2872	0,0,0	298	149	1	1.0	0.999,1.0,1.0	1.0,1.0,1.0	-0.0
93	"ENSG00000117335.21"	"CD46"	chr1	+	207752067	207752309	207752067	207752097	207757013	207757202	93	261,285,248	0,0,0	399,633,392	5,0,0	298	149	1	1.0	1.0,1.0,1.0	0.976,1.0,1.0	0.008
94	"ENSG00000117335.21"	"CD46"	chr1	+	207767012	207767823	207767012	207767195	207770320	207770362	94	202,178,172	56,28,34	227,339,235	54,80,49	298	149	0.622873007032	1.0	0.643,0.761,0.717	0.678,0.679,0.706	0.019
95	"ENSG00000117335.21"	"CD46"	chr1	+	207767012	207768772	207767012	207767195	207770320	207770362	95	10,14,17	56,28,34	10,49,13	54,80,49	298	149	0.854518174857	1.0	0.082,0.2,0.2	0.085,0.234,0.117	0.015
96	"ENSG00000117335.21"	"CD46"	chr1	+	207767012	207768772	207767012	207767823	207770320	207770362	96	27,10,18	192,164,155	7,54,21	217,295,222	298	149	0.870128203969	1.0	0.066,0.03,0.055	0.016,0.084,0.045	0.002
97	"ENSG00000117335.21"	"CD46"	chr1	+	207767012	207767823	207767012	207767195	207783291	207783330	97	13,14,18	0,2,2	11,46,13	0,0,0	298	149	0.183873977772	0.7570762368164833	1.0,0.778,0.818	1.0,1.0,1.0	-0.135
98	"ENSG00000117335.21"	"CD46"	chr1	+	207767012	207770362	207767012	207767195	207783291	207783330	98	236,214,202	0,2,2	232,345,279	0,0,0	298	149	1	1.0	1.0,0.982,0.981	1.0,1.0,1.0	-0.012
99	"ENSG00000117335.21"	"CD46"	chr1	+	207767012	207770362	207767012	207767823	207783291	207783330	99	253,210,203	3,0,1	229,350,287	1,2,0	298	149	1	1.0	0.977,1.0,0.99	0.991,0.989,1.0	-0.004
100	"ENSG00000117335.21"	"CD46"	chr1	+	207783291	207785106	207783291	207783330	207785655	207785682	100	11,11,4	0,0,0	7,13,6	0,0,1	298	149	1	1.0	1.0,1.0,1.0	1.0,1.0,0.75	0.083
101	"ENSG00000152332.16"	"UHMK1"	chr1	+	162499954	162501104	162499954	162500247	162503753	162503848	101	74,52,63	0,0,0	103,205,95	0,2,0	298	149	1	1.0	1.0,1.0,1.0	1.0,0.981,1.0	0.006
