ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
9	"ENSG00000067048.17"	"DDX3Y"	chrY	+	12914883	12915227	12914883	12914982	12915066	12915227	9	10,24	171,126	25,28	198,186	233	149	0.443336317191	0.8159042466407402	0.036,0.109	0.075,0.088	-0.009
10	"ENSG00000174106.3"	"LEMD3"	chr12	+	65245668	65245939	65245668	65245774	65245860	65245939	10	7,7	54,55	6,2	82,60	235	149	0.0601339033336	0.21754698689003646	0.076,0.075	0.044,0.021	0.043
11	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91310626	91312413	91310626	91311032	91312294	91312413	11	7,7	3,1	65,63	19,16	298	149	0.784691005596	1.0	0.538,0.778	0.631,0.663	0.011
13	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91310626	91313229	91310626	91312413	91313077	91313229	13	5,9	3,0	61,71	15,14	298	149	0.475019378731	0.8487550473364859	0.455,1.0	0.67,0.717	0.034
14	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91310626	91313229	91310626	91312495	91313077	91313229	14	5,6	1,2	59,56	14,16	298	149	0.887028911567	1.0	0.714,0.6	0.678,0.636	0.0
16	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91314079	91314386	91314079	91314244	91314331	91314386	16	13,16	1,0	249,200	15,14	236	149	0.00926314068541	0.054627367013194615	0.891,1.0	0.913,0.9	0.039
17	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91314079	91314402	91314079	91314247	91314331	91314402	17	13,16	1,1	245,199	22,12	233	149	0.265725320125	0.5974089964104774	0.893,0.911	0.877,0.914	0.007
18	"ENSG00000048740.19"	"CELF2"	chr10	+	11328925	11334358	11328925	11329097	11330455	11334358	18	1,0	0,0	1,0	1,0	298	149	1	1.0	1.0,NA	0.333,NA	0.667
19	"ENSG00000013441.17"	"CLK1"	chr2	-	200856890	200857884	200856890	200856985	200857717	200857884	19	29,19	175,133	24,10	153,129	298	149	0.294677654914	0.6365440512088177	0.077,0.067	0.073,0.037	0.017
20	"ENSG00000013441.17"	"CLK1"	chr2	-	200859679	200861466	200859679	200859746	200861237	200861466	20	79,65	12,16	92,85	23,22	298	149	0.338468256281	0.6940197687084142	0.767,0.67	0.667,0.659	0.055
21	"ENSG00000181090.21"	"EHMT1"	chr9	+	137817438	137818138	137817438	137817525	137818059	137818138	21	4,8	130,108	4,0	99,88	298	149	0.0883488228954	0.2861992675829174	0.015,0.036	0.02,0.0	0.015
24	"ENSG00000197355.11"	"UAP1L1"	chr9	+	137081997	137084538	137081997	137082064	137082636	137084538	24	40,10	120,92	15,18	64,60	298	149	0.639449634797	0.9847609427920103	0.143,0.052	0.105,0.13	-0.02
25	"ENSG00000107331.18"	"ABCA2"	chr9	-	137010192	137010737	137010192	137010371	137010619	137010737	25	32,43	124,128	45,55	244,214	298	149	0.135307343131	0.38102152927890437	0.114,0.144	0.084,0.114	0.03
26	"ENSG00000107331.18"	"ABCA2"	chr9	-	137010972	137011309	137010972	137011105	137011185	137011309	26	15,16	108,112	24,21	188,143	229	149	0.968182750794	1.0	0.083,0.085	0.077,0.087	0.002
27	"ENSG00000107331.18"	"ABCA2"	chr9	-	137011406	137011749	137011406	137011554	137011633	137011749	27	13,11	164,159	19,11	318,221	228	149	0.386752920644	0.7558584130327441	0.049,0.043	0.038,0.032	0.011
28	"ENSG00000107331.18"	"ABCA2"	chr9	-	137021391	137022001	137021391	137021610	137021890	137022001	28	5,1	75,75	7,4	109,107	298	149	0.493414516297	0.8651738242073069	0.032,0.007	0.031,0.018	-0.005
29	"ENSG00000107331.18"	"ABCA2"	chr9	-	137022701	137023052	137022701	137022865	137022940	137023052	29	2,8	80,137	4,6	143,169	224	149	0.507783320897	0.8759798187910253	0.016,0.037	0.018,0.023	0.006
30	"ENSG00000107331.18"	"ABCA2"	chr9	-	137022940	137023840	137022940	137023052	137023837	137023840	30	23,18	35,68	13,16	95,102	298	149	0.00109797415651	0.010904858379326952	0.247,0.117	0.064,0.073	0.113
31	"ENSG00000148362.11"	"PAXX"	chr9	+	136992639	136992974	136992639	136992700	136992924	136992974	31	565,492	106,120	352,208	111,90	298	149	0.00069653429022	0.007868006039281854	0.727,0.672	0.613,0.536	0.125
32	"ENSG00000148362.11"	"PAXX"	chr9	+	136992639	136993243	136992639	136992700	136993052	136993243	32	442,411	15,7	309,210	22,0	298	149	0.245491891833	0.5682879615341057	0.936,0.967	0.875,1.0	0.014
33	"ENSG00000148362.11"	"PAXX"	chr9	+	136992639	136993243	136992639	136992974	136993052	136993243	33	207,202	145,187	198,172	140,112	227	149	0.253753991933	0.5812162815557372	0.484,0.415	0.481,0.502	-0.042
35	"ENSG00000159069.14"	"FBXW5"	chr9	-	136942045	136942695	136942045	136942466	136942546	136942695	35	146,110	373,364	92,66	413,315	229	149	0.00183995780457	0.016159528278568633	0.203,0.164	0.127,0.12	0.06
36	"ENSG00000159069.14"	"FBXW5"	chr9	-	136942546	136942943	136942546	136942695	136942768	136942943	36	82,85	482,353	40,35	465,400	222	149	1.16230240899e-06	4.249744650133436e-05	0.102,0.139	0.055,0.055	0.066
37	"ENSG00000196642.19"	"RABL6"	chr9	+	136831720	136832370	136831720	136831861	136832261	136832370	37	35,18	12,13	17,5	7,8	298	149	0.4150949379	0.7888160221276878	0.593,0.409	0.548,0.238	0.108
38	"ENSG00000196642.19"	"RABL6"	chr9	+	136831720	136832370	136831720	136831861	136832264	136832370	38	38,25	1218,1079	21,3	481,386	298	149	1	1.0	0.015,0.011	0.021,0.004	0.0
39	"ENSG00000187922.14"	"LCN10"	chr9	-	136739949	136740943	136739949	136740048	136740835	136740943	39	3,0	0,0	1,0	1,0	298	149	1	1.0	1.0,NA	0.333,NA	0.667
40	"ENSG00000148396.19"	"SEC16A"	chr9	-	136474048	136477684	136474048	136474486	136475197	136477684	40	274,213	36,33	213,141	96,80	298	149	3.77120557005e-12	7.277379193093708e-10	0.792,0.763	0.526,0.468	0.281
41	"ENSG00000165684.6"	"SNAPC4"	chr9	-	136391941	136392594	136391941	136392106	136392521	136392594	41	3,3	40,39	9,10	43,36	298	149	0.0073656050256	0.045555605700389655	0.036,0.037	0.095,0.122	-0.072
42	"ENSG00000115380.20"	"EFEMP1"	chr2	-	55922359	55922691	55922359	55922447	55922570	55922691	42	0,0	0,1	2,4	1,0	272	149	1	1.0	NA,0.0	0.523,1.0	-0.762
44	"ENSG00000165533.19"	"TTC8"	chr14	+	88841036	88841514	88841036	88841196	88841424	88841514	44	4,3	24,15	0,0	13,8	298	149	0.00580706649478	0.03791512306319235	0.077,0.091	0.0,0.0	0.084
45	"ENSG00000165699.15"	"TSC1"	chr9	-	132897183	132897610	132897183	132897345	132897422	132897610	45	1,0	32,22	2,3	32,34	226	149	0.0912669827105	0.2928553020276414	0.02,0.0	0.04,0.055	-0.037
46	"ENSG00000165699.15"	"TSC1"	chr9	-	132897183	132897610	132897183	132897345	132897427	132897610	46	5,2	0,0	6,4	0,2	231	149	0.510055087192	0.8777192694384007	1.0,1.0	1.0,0.563	0.219
47	"ENSG00000165699.15"	"TSC1"	chr9	-	132925586	132927304	132925586	132925739	132927200	132927304	47	0,4	66,71	1,6	74,74	298	149	0.349762435849	0.7093140555138303	0.0,0.027	0.007,0.039	-0.009
48	"ENSG00000136878.14"	"USP20"	chr9	+	129880112	129881828	129880112	129880289	129880466	129881828	48	51,48	60,57	101,72	157,120	298	149	0.127097388975	0.3654575998382968	0.298,0.296	0.243,0.231	0.06
